date,gcc_mean,smooth_gcc_mean
2016-09-16,,0.3933
2016-09-17,,0.3887
2016-09-18,,0.3841
2016-09-19,,0.3795
2016-09-20,,0.375
2016-09-21,,0.3707
2016-09-22,,0.3665
2016-09-23,,0.3624
2016-09-24,,0.3584
2016-09-25,,0.3546
2016-09-26,,0.351
2016-09-27,,0.3475
2016-09-28,,0.344
2016-09-29,,0.3408
2016-09-30,,0.3377
2016-10-01,,0.3344
2016-10-02,,0.3314
2016-10-03,,0.329
2016-10-04,,0.3272
2016-10-05,,0.3257
2016-10-06,,0.3246
2016-10-07,,0.3242
2016-10-08,,0.3244
2016-10-09,,0.325
2016-10-10,,0.326
2016-10-11,,0.3271
2016-10-12,,0.3281
2016-10-13,,0.3296
2016-10-14,,0.3317
2016-10-15,,0.3339
2016-10-16,,0.3356
2016-10-17,,0.3373
2016-10-18,,0.3393
2016-10-19,,0.3408
2016-10-20,,0.342
2016-10-21,,0.3432
2016-10-22,,0.3442
2016-10-23,,0.3451
2016-10-24,,0.3459
2016-10-25,,0.3465
2016-10-26,,0.3468
2016-10-27,,0.3468
2016-10-28,,0.3467
2016-10-29,,0.3467
2016-10-30,,0.3467
2016-10-31,,0.3465
2016-11-01,,0.3463
2016-11-02,,0.3463
2016-11-03,,0.3463
2016-11-04,,0.3462
2016-11-05,,0.3461
2016-11-06,,0.3461
2016-11-07,,0.346
2016-11-08,,0.346
2016-11-09,,0.346
2016-11-10,,0.346
2016-11-11,,0.346
2016-11-12,,0.346
2016-11-13,,0.3459
2016-11-14,,0.3459
2016-11-15,,0.3459
2016-11-16,,0.3458
2016-11-17,,0.3458
2016-11-18,,0.3458
2016-11-19,,0.3458
2016-11-20,,0.3458
2016-11-21,,0.3458
2016-11-22,,0.3458
2016-11-23,,0.3458
2016-11-24,,0.3458
2016-11-25,,0.3458
2016-11-26,,0.3459
2016-11-27,,0.346
2016-11-28,,0.346
2016-11-29,,0.3458
2016-11-30,,0.3454
2016-12-01,,0.3449
2016-12-02,,0.3443
2016-12-03,,0.3437
2016-12-04,,0.3433
2016-12-05,,0.3432
2016-12-06,,0.3434
2016-12-07,,0.3436
2016-12-08,,0.3435
2016-12-09,,0.3433
2016-12-10,,0.3432
2016-12-11,,0.3431
2016-12-12,,0.343
2016-12-13,,0.343
2016-12-14,,0.343
2016-12-15,0.3421,0.343
2016-12-16,0.3445,0.3432
2016-12-17,0.3442,0.3434
2016-12-18,0.3419,0.3437
2016-12-19,0.3427,0.3439
2016-12-20,0.3442,0.3441
2016-12-21,0.3457,0.3442
2016-12-22,0.3441,0.3444
2016-12-23,0.3458,0.3444
2016-12-24,0.3446,0.3445
2016-12-25,0.3434,0.3445
2016-12-26,0.3454,0.3444
2016-12-27,0.344,0.3443
2016-12-28,0.3446,0.3442
2016-12-29,0.3438,0.3441
2016-12-30,0.343,0.344
2016-12-31,0.3436,0.3439
2017-01-01,0.3447,0.3438
2017-01-02,0.3445,0.3437
2017-01-03,0.3456,0.3436
2017-01-04,0.342,0.3436
2017-01-05,0.342,0.3436
2017-01-06,0.3422,0.3436
2017-01-07,0.3425,0.3437
2017-01-08,0.3431,0.3438
2017-01-09,0.3442,0.3439
2017-01-10,0.349,0.344
2017-01-11,0.3439,0.344
2017-01-12,0.3428,0.344
2017-01-13,0.3424,0.3439
2017-01-14,0.343,0.3438
2017-01-15,0.3437,0.3436
2017-01-16,0.3452,0.3434
2017-01-17,0.3456,0.3432
2017-01-18,,0.3429
2017-01-19,0.3451,0.3425
2017-01-20,0.3383,0.3422
2017-01-21,0.3384,0.342
2017-01-22,0.3436,0.3418
2017-01-23,0.3403,0.3416
2017-01-24,0.341,0.3415
2017-01-25,0.3442,0.3413
2017-01-26,0.3404,0.3412
2017-01-27,0.3426,0.3412
2017-01-28,0.3395,0.3413
2017-01-29,0.3399,0.3414
2017-01-30,0.3434,0.3414
2017-01-31,0.3417,0.3415
2017-02-01,0.3406,0.3416
2017-02-02,0.3422,0.3416
2017-02-03,0.3422,0.3416
2017-02-04,0.341,0.3416
2017-02-05,0.3425,0.3416
2017-02-06,0.3421,0.3416
2017-02-07,,0.3416
2017-02-08,0.3397,0.3416
2017-02-09,0.3422,0.3417
2017-02-10,0.3428,0.3418
2017-02-11,0.3408,0.342
2017-02-12,0.3422,0.3421
2017-02-13,0.3436,0.3422
2017-02-14,0.3411,0.3424
2017-02-15,0.341,0.3426
2017-02-16,0.3409,0.3427
2017-02-17,0.3445,0.3428
2017-02-18,0.3442,0.3428
2017-02-19,0.345,0.3429
2017-02-20,0.3424,0.3429
2017-02-21,0.3439,0.3429
2017-02-22,0.343,0.3428
2017-02-23,0.3425,0.3427
2017-02-24,0.3428,0.3425
2017-02-25,0.3408,0.3424
2017-02-26,0.3407,0.3423
2017-02-27,0.3432,0.3421
2017-02-28,0.3422,0.3419
2017-03-01,0.3418,0.3419
2017-03-02,0.3418,0.3419
2017-03-03,0.3417,0.3418
2017-03-04,0.3419,0.3418
2017-03-05,0.3413,0.3419
2017-03-06,0.3407,0.342
2017-03-07,0.3435,0.3421
2017-03-08,0.3427,0.3421
2017-03-09,0.343,0.3422
2017-03-10,0.3419,0.3423
2017-03-11,0.3421,0.3424
2017-03-12,0.3429,0.3426
2017-03-13,0.342,0.3427
2017-03-14,0.3425,0.3428
2017-03-15,0.3424,0.3429
2017-03-16,0.3429,0.343
2017-03-17,0.3451,0.3432
2017-03-18,0.3423,0.3432
2017-03-19,0.3435,0.3433
2017-03-20,0.3436,0.3434
2017-03-21,,0.3435
2017-03-22,,0.3436
2017-03-23,,0.3437
2017-03-24,,0.3437
2017-03-25,,0.3437
2017-03-26,,0.3437
2017-03-27,0.344,0.3436
2017-03-28,0.3431,0.3436
2017-03-29,0.3434,0.3435
2017-03-30,0.3437,0.3435
2017-03-31,0.343,0.3434
2017-04-01,0.3439,0.3433
2017-04-02,0.344,0.3432
2017-04-03,0.3428,0.3431
2017-04-04,0.3429,0.343
2017-04-05,0.3424,0.3429
2017-04-06,0.3418,0.3428
2017-04-07,0.3425,0.3428
2017-04-08,0.3436,0.3427
2017-04-09,0.3444,0.3426
2017-04-10,0.3412,0.3424
2017-04-11,0.3421,0.3422
2017-04-12,0.3409,0.3419
2017-04-13,0.3422,0.3417
2017-04-14,0.3424,0.3415
2017-04-15,0.3436,0.3414
2017-04-16,0.3414,0.3413
2017-04-17,0.3417,0.3411
2017-04-18,0.3415,0.341
2017-04-19,0.3406,0.3411
2017-04-20,0.3382,0.3412
2017-04-21,0.3396,0.3415
2017-04-22,0.3404,0.3418
2017-04-23,0.342,0.3421
2017-04-24,0.3418,0.3426
2017-04-25,0.3439,0.343
2017-04-26,0.3456,0.3435
2017-04-27,0.3468,0.3439
2017-04-28,0.3438,0.3444
2017-04-29,0.3449,0.3449
2017-04-30,0.3471,0.3451
2017-05-01,0.3449,0.3449
2017-05-02,0.3466,0.3449
2017-05-03,0.3462,0.3454
2017-05-04,0.347,0.3455
2017-05-05,0.3481,0.3452
2017-05-06,0.3471,0.3459
2017-05-07,0.3467,0.348
2017-05-08,0.3479,0.3506
2017-05-09,0.3509,0.3538
2017-05-10,0.3532,0.3572
2017-05-11,0.3536,0.3609
2017-05-12,0.3538,0.3648
2017-05-13,0.3631,0.3695
2017-05-14,0.3636,0.3752
2017-05-15,0.383,0.3811
2017-05-16,0.3939,0.3862
2017-05-17,0.4102,0.3916
2017-05-18,0.4128,0.3976
2017-05-19,0.4046,0.4028
2017-05-20,0.4063,0.407
2017-05-21,0.41,0.4111
2017-05-22,0.4092,0.415
2017-05-23,0.4154,0.4186
2017-05-24,0.419,0.4217
2017-05-25,0.4115,0.4242
2017-05-26,0.4346,0.426
2017-05-27,0.4302,0.4272
2017-05-28,0.432,0.4281
2017-05-29,0.44,0.429
2017-05-30,0.4418,0.4298
2017-05-31,0.419,0.4302
2017-06-01,0.4218,0.4307
2017-06-02,0.425,0.4311
