date,gcc_mean,smooth_gcc_mean
2021-06-05,,0.3539
2021-06-06,,0.3584
2021-06-07,,0.3612
2021-06-08,,0.3626
2021-06-09,,0.3622
2021-06-10,,0.3602
2021-06-11,,0.3573
2021-06-12,,0.3521
2021-06-13,,0.3449
2021-06-14,,0.3393
2021-06-15,,0.3354
2021-06-16,,0.332
2021-06-17,,0.3308
2021-06-18,,0.3334
2021-06-19,,0.3374
2021-06-20,,0.3418
2021-06-21,,0.347
2021-06-22,,0.3522
2021-06-23,,0.3581
2021-06-24,,0.3643
2021-06-25,,0.3713
2021-06-26,,0.379
2021-06-27,,0.3854
2021-06-28,,0.3902
2021-06-29,,0.3943
2021-06-30,,0.3975
2021-07-01,,0.3989
2021-07-02,,0.3997
2021-07-03,,0.4006
2021-07-04,,0.4014
2021-07-05,,0.4027
2021-07-06,,0.4039
2021-07-07,,0.4048
2021-07-08,,0.4053
2021-07-09,,0.4055
2021-07-10,,0.4057
2021-07-11,,0.4059
2021-07-12,,0.406
2021-07-13,,0.406
2021-07-14,,0.4058
2021-07-15,,0.4056
2021-07-16,,0.4058
2021-07-17,,0.4059
2021-07-18,,0.4058
2021-07-19,,0.4056
2021-07-20,,0.4054
2021-07-21,,0.4051
2021-07-22,,0.4048
2021-07-23,,0.4043
2021-07-24,,0.4036
2021-07-25,,0.4027
2021-07-26,,0.4017
2021-07-27,,0.4007
2021-07-28,,0.3995
2021-07-29,,0.3976
2021-07-30,,0.3955
2021-07-31,,0.3937
2021-08-01,,0.3918
2021-08-02,,0.3896
2021-08-03,,0.3872
2021-08-04,,0.3845
2021-08-05,,0.3819
2021-08-06,,0.379
2021-08-07,,0.376
2021-08-08,,0.3736
2021-08-09,,0.3721
2021-08-10,,0.371
2021-08-11,,0.3708
2021-08-12,,0.371
2021-08-13,,0.3711
2021-08-14,,0.3717
2021-08-15,,0.3719
2021-08-16,,0.3713
2021-08-17,,0.3702
2021-08-18,,0.3692
2021-08-19,,0.368
2021-08-20,,0.3668
2021-08-21,,0.3659
2021-08-22,,0.3658
2021-08-23,,0.3657
2021-08-24,,0.3654
2021-08-25,,0.365
2021-08-26,,0.365
2021-08-27,,0.3663
2021-08-28,,0.3671
2021-08-29,,0.3663
2021-08-30,,0.3641
2021-08-31,,0.3617
2021-09-01,,0.3597
2021-09-02,,0.358
2021-09-03,0.3586,0.3566
2021-09-04,0.3507,0.3558
2021-09-05,0.3584,0.3554
2021-09-06,0.3541,0.3549
2021-09-07,0.3515,0.354
2021-09-08,0.3555,0.3527
2021-09-09,0.354,0.3512
2021-09-10,0.3475,0.3496
2021-09-11,0.3462,0.3477
2021-09-12,0.3462,0.3458
2021-09-13,0.3425,0.3438
2021-09-14,0.3421,0.3416
2021-09-15,0.3416,0.3395
2021-09-16,0.3372,0.337
2021-09-17,0.336,0.3346
2021-09-18,0.3303,0.3321
2021-09-19,0.3292,0.33
2021-09-20,0.328,0.3291
2021-09-21,0.3286,0.3289
2021-09-22,0.3258,0.3286
2021-09-23,0.3297,0.3285
2021-09-24,0.3328,0.3286
2021-09-25,0.329,0.3284
2021-09-26,0.3269,0.3274
2021-09-27,0.3262,0.326
2021-09-28,0.324,0.3248
2021-09-29,0.3229,0.3237
2021-09-30,0.3236,0.3227
2021-10-01,0.3225,0.3226
2021-10-02,0.3201,0.3226
2021-10-03,0.3238,0.3227
2021-10-04,0.324,0.323
2021-10-05,0.324,0.3231
2021-10-06,0.3239,0.323
2021-10-07,0.3216,0.3228
2021-10-08,0.3225,0.3226
2021-10-09,0.3217,0.3226
2021-10-10,0.3219,0.3225
2021-10-11,0.323,0.3224
2021-10-12,0.323,0.3222
2021-10-13,0.322,0.322
2021-10-14,0.3219,0.3215
2021-10-15,0.3215,0.321
2021-10-16,0.3192,0.3206
2021-10-17,0.3195,0.3202
2021-10-18,0.3196,0.3199
2021-10-19,0.3202,0.3198
2021-10-20,0.3218,0.3198
2021-10-21,0.3181,0.3197
2021-10-22,0.3188,0.3193
2021-10-23,0.3202,0.3189
2021-10-24,0.32,0.3186
2021-10-25,0.3168,0.3185
2021-10-26,0.3155,0.3185
2021-10-27,0.3205,0.3185
2021-10-28,0.3193,0.3186
2021-10-29,0.3214,0.3188
2021-10-30,0.3164,0.319
2021-10-31,0.3171,0.3192
2021-11-01,0.3216,0.3194
2021-11-02,0.3201,0.3197
2021-11-03,0.3188,0.3203
2021-11-04,0.3212,0.3211
2021-11-05,0.322,0.3215
2021-11-06,0.3219,0.3219
2021-11-07,0.3216,0.3219
2021-11-08,0.322,0.3213
2021-11-09,0.3194,0.3204
2021-11-10,0.3219,0.3188
2021-11-11,0.3175,0.3166
2021-11-12,0.3141,0.3151
2021-11-13,0.3108,0.3142
2021-11-14,0.313,0.3135
2021-11-15,0.3118,0.3132
2021-11-16,0.3148,0.3137
2021-11-17,0.3165,0.3148
2021-11-18,0.3156,0.3157
2021-11-19,0.3166,0.3163
2021-11-20,0.3172,0.3169
2021-11-21,0.3154,0.317
2021-11-22,0.3175,0.3169
2021-11-23,0.3173,0.3168
2021-11-24,0.318,0.3165
2021-11-25,0.3165,0.3163
2021-11-26,0.313,0.3164
2021-11-27,0.3172,0.3164
2021-11-28,0.316,0.3165
2021-11-29,0.3182,0.3167
2021-11-30,0.3172,0.317
2021-12-01,0.3192,0.3174
2021-12-02,0.3148,0.3179
2021-12-03,0.3187,0.3183
2021-12-04,0.3166,0.3186
2021-12-05,0.3203,0.3189
2021-12-06,0.3229,0.3192
2021-12-07,0.3189,0.3194
2021-12-08,0.3163,0.3195
2021-12-09,0.3196,0.3194
2021-12-10,0.3185,0.3192
2021-12-11,0.32,0.3188
2021-12-12,0.3192,0.318
2021-12-13,0.3173,0.3169
2021-12-14,0.3189,0.316
2021-12-15,0.3123,0.3152
2021-12-16,0.3147,0.3145
2021-12-17,0.311,0.3143
2021-12-18,0.3119,0.3151
2021-12-19,0.3194,0.3165
2021-12-20,0.3194,0.3176
2021-12-21,0.3199,0.3183
2021-12-22,0.3196,0.3189
2021-12-23,0.3189,0.3192
2021-12-24,0.3175,0.319
2021-12-25,0.3181,0.3184
2021-12-26,0.3183,0.3181
2021-12-27,0.3176,0.3184
2021-12-28,0.3173,0.3186
2021-12-29,0.3206,0.3188
2021-12-30,0.3198,0.319
2021-12-31,0.3187,0.3189
2022-01-01,0.3193,0.3187
2022-01-02,0.3181,0.3185
2022-01-03,0.3163,0.3182
2022-01-04,0.3184,0.3178
2022-01-05,0.3192,0.3174
2022-01-06,0.3161,0.3172
2022-01-07,0.3158,0.317
2022-01-08,0.3167,0.3167
2022-01-09,0.3198,0.3166
2022-01-10,0.3147,0.3164
2022-01-11,0.3133,0.316
2022-01-12,0.3186,0.3157
2022-01-13,0.3166,0.3156
2022-01-14,0.3146,0.3156
2022-01-15,0.3138,0.3156
2022-01-16,0.315,0.3159
2022-01-17,0.3179,0.3162
2022-01-18,0.3169,0.3164
2022-01-19,0.3168,0.3164
2022-01-20,0.3168,0.3163
2022-01-21,0.3168,0.3163
2022-01-22,0.3148,0.3161
2022-01-23,0.3157,0.3159
2022-01-24,0.3149,0.3159
2022-01-25,0.317,0.316
2022-01-26,0.3167,0.3161
2022-01-27,0.3168,0.3164
2022-01-28,0.316,0.3166
2022-01-29,0.3162,0.3167
2022-01-30,0.3166,0.317
2022-01-31,0.3178,0.3175
2022-02-01,,0.3182
2022-02-02,,0.3187
2022-02-03,,0.3193
2022-02-04,,0.3196
2022-02-05,,0.3193
2022-02-06,,0.319
2022-02-07,,0.3183
2022-02-08,,0.3171
2022-02-09,,0.3163
2022-02-10,,0.315
2022-02-11,,0.3133
2022-02-12,,0.314
2022-02-13,,0.3164
2022-02-14,0.3178,0.3182
2022-02-15,0.3186,0.3188
2022-02-16,0.3202,0.3186
2022-02-17,0.3217,0.3182
2022-02-18,0.3145,0.318
2022-02-19,0.3156,0.3179
2022-02-20,0.3186,0.3177
2022-02-21,0.319,0.3175
2022-02-22,,0.3174
2022-02-23,,0.3173
2022-02-24,0.3184,0.3172
2022-02-25,0.3156,0.3172
2022-02-26,0.3165,0.317
2022-02-27,0.3172,0.3168
2022-02-28,0.3177,0.3168
2022-03-01,0.3169,0.3171
2022-03-02,0.3177,0.3174
2022-03-03,0.3174,0.3178
2022-03-04,0.3164,0.3182
2022-03-05,0.3184,0.3186
2022-03-06,0.3222,0.3189
2022-03-07,0.3206,0.3191
2022-03-08,0.3151,0.319
2022-03-09,0.3194,0.3187
2022-03-10,0.32,0.3185
2022-03-11,0.3184,0.3186
2022-03-12,0.3178,0.3187
2022-03-13,0.3182,0.319
2022-03-14,0.3192,0.32
2022-03-15,0.3207,0.3209
2022-03-16,0.3205,0.3217
2022-03-17,0.3232,0.3221
2022-03-18,0.3233,0.321
2022-03-19,0.3223,0.3191
2022-03-20,0.3195,0.3172
2022-03-21,0.311,0.3148
2022-03-22,0.3102,0.312
2022-03-23,0.308,0.3101
2022-03-24,0.3096,0.3096
2022-03-25,0.3105,0.3099
2022-03-26,0.3102,0.3102
2022-03-27,0.3102,0.3107
2022-03-28,0.3124,0.3114
2022-03-29,0.3139,0.312
2022-03-30,0.3125,0.3121
2022-03-31,0.3121,0.3122
2022-04-01,0.3089,0.3124
2022-04-02,0.3143,0.3128
2022-04-03,0.3111,0.3132
2022-04-04,0.3142,0.3136
2022-04-05,0.3163,0.3136
2022-04-06,0.317,0.3134
2022-04-07,0.3103,0.3134
2022-04-08,0.3117,0.3135
2022-04-09,0.3124,0.3136
2022-04-10,0.3126,0.314
2022-04-11,0.3171,0.3144
2022-04-12,0.3174,0.315
2022-04-13,0.3154,0.3158
2022-04-14,0.3132,0.3162
2022-04-15,0.3168,0.3159
2022-04-16,0.3156,0.3153
2022-04-17,0.3163,0.3148
2022-04-18,0.3176,0.3145
2022-04-19,0.3081,0.3142
2022-04-20,0.315,0.3141
2022-04-21,0.3143,0.3146
2022-04-22,0.313,0.3151
2022-04-23,0.3165,0.3153
2022-04-24,0.3186,0.3155
2022-04-25,0.3187,0.3155
2022-04-26,0.3141,0.3153
2022-04-27,0.3089,0.3154
2022-04-28,0.3156,0.3157
2022-04-29,0.3172,0.3162
2022-04-30,0.3181,0.3167
2022-05-01,0.3199,0.3171
2022-05-02,0.3182,0.3176
2022-05-03,0.3172,0.318
2022-05-04,0.3144,0.3179
2022-05-05,0.3191,0.3178
2022-05-06,0.3191,0.3183
2022-05-07,0.3183,0.3188
2022-05-08,0.3192,0.3193
2022-05-09,0.3202,0.3199
2022-05-10,0.3212,0.3203
2022-05-11,0.3209,0.3204
2022-05-12,0.3186,0.3204
2022-05-13,0.3201,0.3202
2022-05-14,0.3215,0.3194
2022-05-15,0.32,0.3181
2022-05-16,0.3176,0.3173
2022-05-17,0.3147,0.3166
2022-05-18,0.3163,0.3159
2022-05-19,0.3155,0.3165
2022-05-20,0.3179,0.3186
2022-05-21,0.3214,0.3216
2022-05-22,0.3262,0.3259
2022-05-23,0.3298,0.332
2022-05-24,0.3394,0.3396
2022-05-25,0.3443,0.3471
2022-05-26,0.358,0.3545
2022-05-27,0.366,0.3624
2022-05-28,0.3719,0.3703
2022-05-29,0.3746,0.3782
2022-05-30,0.3882,0.3862
2022-05-31,0.3849,0.3938
2022-06-01,0.4068,0.4016
2022-06-02,0.4147,0.4103
2022-06-03,0.4186,0.4194
2022-06-04,0.4232,0.4275
2022-06-05,0.4281,0.4348
2022-06-06,0.4524,0.4416
2022-06-07,0.4504,0.447
2022-06-08,0.4409,0.451
2022-06-09,0.4636,0.454
2022-06-10,0.4542,0.4554
2022-06-11,0.4468,0.455
2022-06-12,0.4597,0.4538
2022-06-13,0.4508,0.4525
2022-06-14,,0.4505
2022-06-15,,0.4491
2022-06-16,,0.4487
2022-06-17,,0.4475
2022-06-18,,0.4466
2022-06-19,,0.4472
2022-06-20,,0.4475
2022-06-21,,0.449
2022-06-22,,0.4522
2022-06-23,,0.4537
2022-06-24,,0.4547
2022-06-25,,0.4534
2022-06-26,,0.4489
2022-06-27,0.4441,0.4437
2022-06-28,0.4373,0.4376
2022-06-29,0.4341,0.4319
2022-06-30,0.4228,0.4269
2022-07-01,0.4282,0.4232
2022-07-02,0.4159,0.4204
2022-07-03,0.4162,0.4179
2022-07-04,0.4159,0.4156
2022-07-05,0.4204,0.4139
2022-07-06,0.4118,0.4123
2022-07-07,0.4056,0.4106
2022-07-08,0.4118,0.4092
2022-07-09,0.4076,0.4078
2022-07-10,0.4039,0.4067
2022-07-11,0.405,0.4058
2022-07-12,0.4064,0.4045
2022-07-13,0.4075,0.4026
2022-07-14,0.4011,0.4003
2022-07-15,0.396,0.3984
2022-07-16,0.3934,0.3971
2022-07-17,0.392,0.396
2022-07-18,0.3961,0.3948
2022-07-19,0.3966,0.3942
2022-07-20,0.3971,0.3936
2022-07-21,0.391,0.3921
2022-07-22,0.3921,0.3903
2022-07-23,0.3846,0.3878
2022-07-24,0.3833,0.3848
2022-07-25,0.3841,0.3819
2022-07-26,0.3799,0.3795
2022-07-27,0.3756,0.3773
2022-07-28,0.3748,0.3749
2022-07-29,0.3718,0.3724
2022-07-30,0.3712,0.37
2022-07-31,0.367,0.367
2022-08-01,0.3629,0.3638
2022-08-02,0.3602,0.3602
2022-08-03,0.355,0.3552
2022-08-04,0.3553,0.3499
2022-08-05,0.3436,0.3442
2022-08-06,0.3367,0.338
2022-08-07,0.3317,0.3328
2022-08-08,0.3272,0.329
2022-08-09,0.3223,0.3257
2022-08-10,0.3247,0.3233
2022-08-11,0.3231,0.3222
2022-08-12,0.3229,0.3221
2022-08-13,0.3218,0.322
2022-08-14,0.3222,0.3218
2022-08-15,0.3213,0.3217
2022-08-16,0.3212,0.3214
2022-08-17,0.3229,0.3212
2022-08-18,0.3189,0.3209
2022-08-19,0.3218,0.3205
2022-08-20,0.3212,0.3203
2022-08-21,0.3194,0.3204
2022-08-22,0.3194,0.3205
2022-08-23,0.3185,0.3206
2022-08-24,0.3242,0.321
2022-08-25,0.3225,0.3215
2022-08-26,0.3194,0.3218
2022-08-27,0.3224,0.3219
2022-08-28,0.3223,0.3219
2022-08-29,0.323,0.3218
2022-08-30,0.3208,0.3217
2022-08-31,0.3211,0.3215
2022-09-01,0.3207,0.3212
2022-09-02,0.3222,0.3208
2022-09-03,0.3208,0.3204
2022-09-04,0.3193,0.32
2022-09-05,0.3186,0.3196
2022-09-06,0.3186,0.3191
2022-09-07,0.321,0.3189
2022-09-08,0.3202,0.3191
2022-09-09,0.3157,0.3194
2022-09-10,0.3196,0.3199
2022-09-11,0.3213,0.3205
2022-09-12,0.3227,0.3212
2022-09-13,0.3212,0.3222
2022-09-14,0.3229,0.3226
2022-09-15,0.321,0.3222
2022-09-16,0.3233,0.3213
2022-09-17,0.322,0.3205
2022-09-18,0.3219,0.3197
2022-09-19,0.3141,0.3188
2022-09-20,0.3152,0.3181
2022-09-21,0.3199,0.3179
2022-09-22,0.3188,0.3178
2022-09-23,0.3183,0.3181
2022-09-24,0.3191,0.3184
2022-09-25,0.3187,0.3184
2022-09-26,0.3176,0.3182
2022-09-27,0.3174,0.318
2022-09-28,0.3179,0.3176
2022-09-29,0.3182,0.3172
2022-09-30,0.3173,0.3168
