id,longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
2021_01_01,-75.76615685085075,45.290810837095975,2021-01-01,,,,MODIS/061/MCD43A4
2021_01_02,-75.76615685085075,45.290810837095975,2021-01-02,,,,MODIS/061/MCD43A4
2021_01_03,-75.76615685085075,45.290810837095975,2021-01-03,,,,MODIS/061/MCD43A4
2021_01_04,-75.76615685085075,45.290810837095975,2021-01-04,,,,MODIS/061/MCD43A4
2021_01_05,-75.76615685085075,45.290810837095975,2021-01-05,,,,MODIS/061/MCD43A4
2021_01_06,-75.76615685085075,45.290810837095975,2021-01-06,,,,MODIS/061/MCD43A4
2021_01_07,-75.76615685085075,45.290810837095975,2021-01-07,,,,MODIS/061/MCD43A4
2021_01_08,-75.76615685085075,45.290810837095975,2021-01-08,,,,MODIS/061/MCD43A4
2021_01_09,-75.76615685085075,45.290810837095975,2021-01-09,,,,MODIS/061/MCD43A4
2021_01_10,-75.76615685085075,45.290810837095975,2021-01-10,,,,MODIS/061/MCD43A4
2021_01_11,-75.76615685085075,45.290810837095975,2021-01-11,6106.0,6193.0,6069.0,MODIS/061/MCD43A4
2021_01_12,-75.76615685085075,45.290810837095975,2021-01-12,6130.0,6204.0,6083.0,MODIS/061/MCD43A4
2021_01_13,-75.76615685085075,45.290810837095975,2021-01-13,6899.0,6549.0,6700.0,MODIS/061/MCD43A4
2021_01_14,-75.76615685085075,45.290810837095975,2021-01-14,6907.0,6551.0,6700.0,MODIS/061/MCD43A4
2021_01_15,-75.76615685085075,45.290810837095975,2021-01-15,6915.0,6552.0,6701.0,MODIS/061/MCD43A4
2021_01_16,-75.76615685085075,45.290810837095975,2021-01-16,7259.0,7006.0,6985.0,MODIS/061/MCD43A4
2021_01_17,-75.76615685085075,45.290810837095975,2021-01-17,7411.0,7240.0,7079.0,MODIS/061/MCD43A4
2021_01_18,-75.76615685085075,45.290810837095975,2021-01-18,7419.0,7239.0,7078.0,MODIS/061/MCD43A4
2021_01_19,-75.76615685085075,45.290810837095975,2021-01-19,7441.0,7261.0,7090.0,MODIS/061/MCD43A4
2021_01_20,-75.76615685085075,45.290810837095975,2021-01-20,7361.0,7204.0,6920.0,MODIS/061/MCD43A4
2021_01_21,-75.76615685085075,45.290810837095975,2021-01-21,7384.0,7221.0,6929.0,MODIS/061/MCD43A4
2021_01_22,-75.76615685085075,45.290810837095975,2021-01-22,7361.0,7189.0,6849.0,MODIS/061/MCD43A4
2021_01_23,-75.76615685085075,45.290810837095975,2021-01-23,7244.0,7094.0,6849.0,MODIS/061/MCD43A4
2021_01_24,-75.76615685085075,45.290810837095975,2021-01-24,6916.0,6838.0,6798.0,MODIS/061/MCD43A4
2021_01_25,-75.76615685085075,45.290810837095975,2021-01-25,6934.0,6869.0,6816.0,MODIS/061/MCD43A4
2021_01_26,-75.76615685085075,45.290810837095975,2021-01-26,6933.0,6870.0,6824.0,MODIS/061/MCD43A4
2021_01_27,-75.76615685085075,45.290810837095975,2021-01-27,6926.0,6888.0,6811.0,MODIS/061/MCD43A4
2021_01_28,-75.76615685085075,45.290810837095975,2021-01-28,6684.0,6696.0,6808.0,MODIS/061/MCD43A4
2021_01_29,-75.76615685085075,45.290810837095975,2021-01-29,6687.0,6704.0,6806.0,MODIS/061/MCD43A4
2021_01_30,-75.76615685085075,45.290810837095975,2021-01-30,6719.0,6867.0,6768.0,MODIS/061/MCD43A4
2021_01_31,-75.76615685085075,45.290810837095975,2021-01-31,6676.0,6703.0,6796.0,MODIS/061/MCD43A4
2021_02_01,-75.76615685085075,45.290810837095975,2021-02-01,6595.0,6634.0,6724.0,MODIS/061/MCD43A4
2021_02_02,-75.76615685085075,45.290810837095975,2021-02-02,6510.0,6534.0,6618.0,MODIS/061/MCD43A4
2021_02_03,-75.76615685085075,45.290810837095975,2021-02-03,6291.0,6337.0,6503.0,MODIS/061/MCD43A4
2021_02_04,-75.76615685085075,45.290810837095975,2021-02-04,6181.0,6260.0,6513.0,MODIS/061/MCD43A4
2021_02_05,-75.76615685085075,45.290810837095975,2021-02-05,6121.0,6249.0,6493.0,MODIS/061/MCD43A4
2021_02_06,-75.76615685085075,45.290810837095975,2021-02-06,6107.0,6237.0,6485.0,MODIS/061/MCD43A4
