date,gcc_mean,smooth_gcc_mean
2014-06-06,,0.3723
2014-06-07,,0.3762
2014-06-08,,0.3797
2014-06-09,,0.3828
2014-06-10,,0.3854
2014-06-11,,0.3874
2014-06-12,,0.3891
2014-06-13,,0.3902
2014-06-14,,0.3906
2014-06-15,,0.39
2014-06-16,,0.3891
2014-06-17,,0.3871
2014-06-18,,0.3827
2014-06-19,,0.3775
2014-06-20,,0.3711
2014-06-21,,0.3653
2014-06-22,,0.36
2014-06-23,,0.3573
2014-06-24,,0.3557
2014-06-25,,0.3564
2014-06-26,,0.3578
2014-06-27,,0.3594
2014-06-28,,0.361
2014-06-29,,0.3617
2014-06-30,,0.3622
2014-07-01,,0.362
2014-07-02,,0.3615
2014-07-03,,0.361
2014-07-04,,0.3603
2014-07-05,,0.3598
2014-07-06,,0.3593
2014-07-07,,0.3588
2014-07-08,,0.3584
2014-07-09,,0.3579
2014-07-10,,0.3574
2014-07-11,,0.3569
2014-07-12,,0.3564
2014-07-13,,0.356
2014-07-14,,0.3555
2014-07-15,,0.355
2014-07-16,,0.3545
2014-07-17,,0.354
2014-07-18,,0.3535
2014-07-19,,0.3531
2014-07-20,,0.3526
2014-07-21,,0.3521
2014-07-22,,0.3516
2014-07-23,,0.3511
2014-07-24,,0.3507
2014-07-25,,0.3502
2014-07-26,,0.3497
2014-07-27,,0.3492
2014-07-28,,0.3487
2014-07-29,,0.3482
2014-07-30,,0.3478
2014-07-31,,0.3473
2014-08-01,,0.3468
2014-08-02,,0.3463
2014-08-03,,0.3458
2014-08-04,,0.3454
2014-08-05,,0.3449
2014-08-06,,0.3444
2014-08-07,,0.3439
2014-08-08,,0.3434
2014-08-09,,0.343
2014-08-10,,0.3425
2014-08-11,,0.342
2014-08-12,,0.3415
2014-08-13,,0.341
2014-08-14,,0.3406
2014-08-15,,0.3401
2014-08-16,,0.3396
2014-08-17,,0.3391
2014-08-18,,0.3386
2014-08-19,,0.3382
2014-08-20,,0.3377
2014-08-21,,0.3372
2014-08-22,,0.3367
2014-08-23,,0.3362
2014-08-24,,0.3357
2014-08-25,,0.3353
2014-08-26,,0.3348
2014-08-27,,0.3343
2014-08-28,,0.3338
2014-08-29,,0.3333
2014-08-30,,0.3329
2014-08-31,,0.3324
2014-09-01,,0.3318
2014-09-02,,0.3312
2014-09-03,,0.33
2014-09-04,0.3304,0.3302
2014-09-05,0.3295,0.3304
2014-09-06,0.3305,0.3303
2014-09-07,0.3308,0.3299
2014-09-08,0.33,0.329
2014-09-09,0.3276,0.3282
2014-09-10,0.3292,0.3277
2014-09-11,0.3221,0.3274
2014-09-12,0.3293,0.3276
2014-09-13,0.3295,0.328
2014-09-14,0.3286,0.3284
2014-09-15,0.3288,0.3288
2014-09-16,0.3288,0.3286
2014-09-17,0.3279,0.3283
2014-09-18,0.3278,0.3278
2014-09-19,0.3277,0.3274
2014-09-20,0.3267,0.327
2014-09-21,0.3273,0.3267
2014-09-22,0.3257,0.3265
2014-09-23,0.3258,0.3266
2014-09-24,0.3272,0.3266
2014-09-25,0.3271,0.3266
2014-09-26,0.3267,0.3266
2014-09-27,0.3269,0.3262
2014-09-28,0.3257,0.3259
2014-09-29,0.3249,0.3258
2014-09-30,0.3263,0.3259
2014-10-01,0.3246,0.3264
2014-10-02,0.3281,0.327
2014-10-03,0.3281,0.3277
2014-10-04,0.3288,0.3281
2014-10-05,0.3277,0.3283
2014-10-06,0.3277,0.3277
2014-10-07,0.3284,0.327
2014-10-08,0.327,0.3265
2014-10-09,0.3224,0.326
2014-10-10,0.3264,0.3261
2014-10-11,0.3282,0.3263
2014-10-12,0.3252,0.3267
2014-10-13,0.3284,0.3272
2014-10-14,0.3286,0.3275
2014-10-15,0.3257,0.3276
2014-10-16,0.328,0.3277
2014-10-17,0.328,0.3277
2014-10-18,0.3277,0.3276
2014-10-19,0.3275,0.3275
2014-10-20,0.3273,0.3274
2014-10-21,0.3274,0.327
2014-10-22,0.3268,0.3266
2014-10-23,0.3257,0.3262
2014-10-24,0.3257,0.3259
2014-10-25,0.3268,0.3258
2014-10-26,0.3244,0.3257
2014-10-27,0.3257,0.326
2014-10-28,0.3262,0.3262
2014-10-29,0.3264,0.3259
2014-10-30,0.3265,0.3255
2014-10-31,0.3254,0.3246
2014-11-01,0.3237,0.3237
2014-11-02,0.3232,0.3233
2014-11-03,0.3185,0.3235
2014-11-04,0.3261,0.3239
2014-11-05,0.326,0.3247
2014-11-06,0.3264,0.3254
2014-11-07,0.3242,0.3252
2014-11-08,0.326,0.3248
2014-11-09,0.3248,0.324
2014-11-10,0.3215,0.3232
2014-11-11,0.3213,0.3226
2014-11-12,0.323,0.3223
2014-11-13,0.3233,0.3224
2014-11-14,0.3233,0.3226
2014-11-15,0.3211,0.3231
2014-11-16,,0.3236
2014-11-17,0.3259,0.3244
2014-11-18,0.3231,0.325
2014-11-19,0.3263,0.3254
2014-11-20,0.3264,0.3253
2014-11-21,0.3268,0.3252
2014-11-22,0.3209,0.3248
2014-11-23,0.3258,0.3243
2014-11-24,0.3243,0.3239
2014-11-25,0.3228,0.3237
2014-11-26,0.3242,0.324
2014-11-27,,0.3244
2014-11-28,,0.3258
2014-11-29,,0.327
2014-11-30,,0.3269
2014-12-01,0.3271,0.3264
2014-12-02,0.3276,0.3256
2014-12-03,0.3233,0.3245
2014-12-04,0.3212,0.3234
2014-12-05,0.3264,0.3229
2014-12-06,0.3192,0.3227
2014-12-07,0.3252,0.3233
2014-12-08,0.3237,0.324
2014-12-09,0.3231,0.3246
2014-12-10,0.3253,0.3251
2014-12-11,0.3273,0.3246
2014-12-12,0.3268,0.324
2014-12-13,0.3207,0.3232
2014-12-14,0.3194,0.3224
2014-12-15,0.3234,0.3224
2014-12-16,0.3221,0.3227
2014-12-17,0.3238,0.3237
2014-12-18,0.3245,0.3242
2014-12-19,0.3265,0.3247
2014-12-20,0.3258,0.3244
2014-12-21,0.3224,0.324
2014-12-22,0.3214,0.3235
2014-12-23,0.3253,0.3233
2014-12-24,0.3241,0.3242
2014-12-25,0.3214,0.3253
2014-12-26,0.3281,0.3263
2014-12-27,0.3293,0.3273
2014-12-28,0.3298,0.3278
2014-12-29,0.3262,0.3281
2014-12-30,0.3264,0.3281
2014-12-31,0.3282,0.328
2015-01-01,0.3288,0.3281
2015-01-02,0.329,0.3285
2015-01-03,0.3287,0.3288
2015-01-04,0.3278,0.3289
2015-01-05,0.329,0.3286
2015-01-06,0.3278,0.3277
2015-01-07,0.3275,0.3265
2015-01-08,0.3271,0.3246
2015-01-09,0.3216,0.3229
2015-01-10,0.3214,0.3221
2015-01-11,0.3169,0.3217
2015-01-12,0.3239,0.3224
2015-01-13,0.3244,0.3234
2015-01-14,0.3263,0.3245
2015-01-15,0.3272,0.3256
2015-01-16,0.3226,0.326
2015-01-17,0.327,0.3259
2015-01-18,0.3256,0.3258
2015-01-19,0.3256,0.3257
2015-01-20,0.3257,0.3256
2015-01-21,0.3252,0.3249
2015-01-22,0.3265,0.3243
2015-01-23,0.3225,0.3242
2015-01-24,0.3215,0.3241
2015-01-25,0.3242,0.3246
2015-01-26,0.3266,0.3249
2015-01-27,0.3259,0.3248
2015-01-28,0.3259,0.3245
2015-01-29,0.324,0.3237
2015-01-30,0.321,0.3229
2015-01-31,0.3201,0.3225
2015-02-01,0.3238,0.3228
2015-02-02,0.3239,0.3232
2015-02-03,0.3251,0.3238
2015-02-04,0.324,0.3245
2015-02-05,0.3246,0.3249
2015-02-06,0.3243,0.3251
2015-02-07,0.3256,0.3252
2015-02-08,0.3259,0.3253
2015-02-09,0.3258,0.3254
2015-02-10,0.324,0.3253
2015-02-11,0.3256,0.3246
2015-02-12,0.3233,0.3239
2015-02-13,0.3258,0.323
2015-02-14,0.3212,0.3223
2015-02-15,0.3196,0.3222
2015-02-16,0.3216,0.3225
2015-02-17,0.324,0.3228
2015-02-18,0.3241,0.3232
2015-02-19,0.327,0.3237
2015-02-20,0.3206,0.324
2015-02-21,0.3228,0.3242
2015-02-22,0.324,0.3241
2015-02-23,0.3262,0.3239
2015-02-24,0.3259,0.3238
2015-02-25,0.3217,0.3236
2015-02-26,0.3206,0.323
2015-02-27,0.3241,0.3225
2015-02-28,0.3232,0.3224
2015-03-01,0.3215,0.3225
2015-03-02,0.3237,0.3229
2015-03-03,0.3216,0.3233
2015-03-04,0.3246,0.3237
2015-03-05,0.3241,0.3244
2015-03-06,0.3254,0.325
2015-03-07,0.3255,0.3252
2015-03-08,0.3252,0.3252
2015-03-09,0.3249,0.3248
2015-03-10,0.3249,0.3242
2015-03-11,0.3237,0.3241
2015-03-12,0.3225,0.3239
2015-03-13,0.3232,0.3239
2015-03-14,0.3245,0.3238
2015-03-15,0.3253,0.3233
2015-03-16,0.3246,0.3229
2015-03-17,0.3206,0.3225
2015-03-18,0.32,0.3224
2015-03-19,0.3216,0.3223
2015-03-20,0.3247,0.3228
2015-03-21,0.3248,0.3233
2015-03-22,0.3226,0.3234
2015-03-23,0.3234,0.3235
2015-03-24,0.3246,0.3233
2015-03-25,0.3212,0.3232
2015-03-26,0.323,0.3238
2015-03-27,0.3248,0.3243
2015-03-28,0.3254,0.3246
2015-03-29,0.3251,0.3246
2015-03-30,0.325,0.3237
2015-03-31,,0.3227
2015-04-01,0.3222,0.322
2015-04-02,0.3169,0.3221
2015-04-03,0.3239,0.3225
2015-04-04,0.3244,0.3231
2015-04-05,0.3248,0.3238
2015-04-06,0.325,0.3239
2015-04-07,0.3235,0.3238
2015-04-08,0.3209,0.3236
2015-04-09,0.3237,0.3233
2015-04-10,0.3242,0.3239
2015-04-11,0.324,0.3245
2015-04-12,0.3246,0.3244
2015-04-13,0.325,0.324
2015-04-14,0.3251,0.3225
2015-04-15,0.3226,0.3212
2015-04-16,0.3175,0.3206
2015-04-17,0.3143,0.321
2015-04-18,0.3246,0.3217
2015-04-19,0.326,0.3233
2015-04-20,0.3257,0.325
2015-04-21,0.326,0.326
2015-04-22,0.3257,0.3265
2015-04-23,0.326,0.3257
2015-04-24,0.3259,0.3248
2015-04-25,0.3262,0.3247
2015-04-26,0.3202,0.3248
2015-04-27,0.3248,0.3255
2015-04-28,0.3278,0.3264
