id,longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
2014_01_01,-105.08267614809134,40.57465559546849,2014-01-01,949.0,1625.0,532.0,MODIS/061/MCD43A4
2014_01_02,-105.08267614809134,40.57465559546849,2014-01-02,1031.0,1758.0,582.0,MODIS/061/MCD43A4
2014_01_03,-105.08267614809134,40.57465559546849,2014-01-03,1030.0,1748.0,580.0,MODIS/061/MCD43A4
2014_01_04,-105.08267614809134,40.57465559546849,2014-01-04,1065.0,1800.0,588.0,MODIS/061/MCD43A4
2014_01_05,-105.08267614809134,40.57465559546849,2014-01-05,3738.0,3901.0,3709.0,MODIS/061/MCD43A4
2014_01_06,-105.08267614809134,40.57465559546849,2014-01-06,3743.0,3906.0,3714.0,MODIS/061/MCD43A4
2014_01_07,-105.08267614809134,40.57465559546849,2014-01-07,3728.0,3891.0,3697.0,MODIS/061/MCD43A4
2014_01_08,-105.08267614809134,40.57465559546849,2014-01-08,3713.0,3877.0,3681.0,MODIS/061/MCD43A4
2014_01_09,-105.08267614809134,40.57465559546849,2014-01-09,3720.0,3884.0,3687.0,MODIS/061/MCD43A4
2014_01_10,-105.08267614809134,40.57465559546849,2014-01-10,3727.0,3890.0,3693.0,MODIS/061/MCD43A4
2014_01_11,-105.08267614809134,40.57465559546849,2014-01-11,903.0,1540.0,538.0,MODIS/061/MCD43A4
2014_01_12,-105.08267614809134,40.57465559546849,2014-01-12,867.0,1466.0,518.0,MODIS/061/MCD43A4
2014_01_13,-105.08267614809134,40.57465559546849,2014-01-13,920.0,1597.0,542.0,MODIS/061/MCD43A4
2014_01_14,-105.08267614809134,40.57465559546849,2014-01-14,916.0,1602.0,535.0,MODIS/061/MCD43A4
2014_01_15,-105.08267614809134,40.57465559546849,2014-01-15,930.0,1621.0,538.0,MODIS/061/MCD43A4
2014_01_16,-105.08267614809134,40.57465559546849,2014-01-16,931.0,1623.0,539.0,MODIS/061/MCD43A4
2014_01_17,-105.08267614809134,40.57465559546849,2014-01-17,933.0,1625.0,540.0,MODIS/061/MCD43A4
2014_01_18,-105.08267614809134,40.57465559546849,2014-01-18,945.0,1634.0,543.0,MODIS/061/MCD43A4
2014_01_19,-105.08267614809134,40.57465559546849,2014-01-19,967.0,1653.0,561.0,MODIS/061/MCD43A4
2014_01_20,-105.08267614809134,40.57465559546849,2014-01-20,969.0,1656.0,562.0,MODIS/061/MCD43A4
2014_01_21,-105.08267614809134,40.57465559546849,2014-01-21,973.0,1660.0,564.0,MODIS/061/MCD43A4
2014_01_22,-105.08267614809134,40.57465559546849,2014-01-22,981.0,1667.0,569.0,MODIS/061/MCD43A4
2014_01_23,-105.08267614809134,40.57465559546849,2014-01-23,985.0,1464.0,571.0,MODIS/061/MCD43A4
2014_01_24,-105.08267614809134,40.57465559546849,2014-01-24,988.0,1458.0,573.0,MODIS/061/MCD43A4
2014_01_25,-105.08267614809134,40.57465559546849,2014-01-25,992.0,1678.0,576.0,MODIS/061/MCD43A4
2014_01_26,-105.08267614809134,40.57465559546849,2014-01-26,983.0,1673.0,564.0,MODIS/061/MCD43A4
2014_01_27,-105.08267614809134,40.57465559546849,2014-01-27,1004.0,1707.0,570.0,MODIS/061/MCD43A4
2014_01_28,-105.08267614809134,40.57465559546849,2014-01-28,1017.0,1725.0,586.0,MODIS/061/MCD43A4
2014_01_29,-105.08267614809134,40.57465559546849,2014-01-29,1044.0,1749.0,603.0,MODIS/061/MCD43A4
2014_01_30,-105.08267614809134,40.57465559546849,2014-01-30,4596.0,4633.0,4749.0,MODIS/061/MCD43A4
2014_01_31,-105.08267614809134,40.57465559546849,2014-01-31,4606.0,4641.0,4758.0,MODIS/061/MCD43A4
2014_02_01,-105.08267614809134,40.57465559546849,2014-02-01,3610.0,3723.0,3800.0,MODIS/061/MCD43A4
2014_02_02,-105.08267614809134,40.57465559546849,2014-02-02,3623.0,3735.0,3812.0,MODIS/061/MCD43A4
2014_02_03,-105.08267614809134,40.57465559546849,2014-02-03,3615.0,3728.0,3803.0,MODIS/061/MCD43A4
2014_02_04,-105.08267614809134,40.57465559546849,2014-02-04,2871.0,2984.0,3055.0,MODIS/061/MCD43A4
2014_02_05,-105.08267614809134,40.57465559546849,2014-02-05,2849.0,2963.0,3032.0,MODIS/061/MCD43A4
2014_02_06,-105.08267614809134,40.57465559546849,2014-02-06,2814.0,2929.0,2995.0,MODIS/061/MCD43A4
2014_02_07,-105.08267614809134,40.57465559546849,2014-02-07,2780.0,2896.0,2959.0,MODIS/061/MCD43A4
2014_02_08,-105.08267614809134,40.57465559546849,2014-02-08,2747.0,2864.0,2923.0,MODIS/061/MCD43A4
2014_02_09,-105.08267614809134,40.57465559546849,2014-02-09,2716.0,2832.0,2890.0,MODIS/061/MCD43A4
2014_02_10,-105.08267614809134,40.57465559546849,2014-02-10,2683.0,2798.0,2856.0,MODIS/061/MCD43A4
2014_02_11,-105.08267614809134,40.57465559546849,2014-02-11,3202.0,3349.0,3385.0,MODIS/061/MCD43A4
2014_02_12,-105.08267614809134,40.57465559546849,2014-02-12,3043.0,3198.0,3231.0,MODIS/061/MCD43A4
2014_02_13,-105.08267614809134,40.57465559546849,2014-02-13,3050.0,3205.0,3238.0,MODIS/061/MCD43A4
2014_02_14,-105.08267614809134,40.57465559546849,2014-02-14,1063.0,1716.0,601.0,MODIS/061/MCD43A4
2014_02_15,-105.08267614809134,40.57465559546849,2014-02-15,1066.0,1721.0,603.0,MODIS/061/MCD43A4
2014_02_16,-105.08267614809134,40.57465559546849,2014-02-16,924.0,1494.0,530.0,MODIS/061/MCD43A4
2014_02_17,-105.08267614809134,40.57465559546849,2014-02-17,929.0,1523.0,540.0,MODIS/061/MCD43A4
2014_02_18,-105.08267614809134,40.57465559546849,2014-02-18,927.0,1521.0,539.0,MODIS/061/MCD43A4
2014_02_19,-105.08267614809134,40.57465559546849,2014-02-19,926.0,1520.0,538.0,MODIS/061/MCD43A4
2014_02_20,-105.08267614809134,40.57465559546849,2014-02-20,926.0,1521.0,539.0,MODIS/061/MCD43A4
2014_02_21,-105.08267614809134,40.57465559546849,2014-02-21,927.0,1532.0,544.0,MODIS/061/MCD43A4
2014_02_22,-105.08267614809134,40.57465559546849,2014-02-22,927.0,1533.0,545.0,MODIS/061/MCD43A4
2014_02_23,-105.08267614809134,40.57465559546849,2014-02-23,928.0,1534.0,545.0,MODIS/061/MCD43A4
