date,gcc_mean,smooth_gcc_mean
2014-05-25,,0.3486
2014-05-26,,0.3487
2014-05-27,,0.3488
2014-05-28,,0.3489
2014-05-29,,0.349
2014-05-30,,0.349
2014-05-31,,0.3491
2014-06-01,,0.3492
2014-06-02,,0.3492
2014-06-03,,0.3493
2014-06-04,,0.3493
2014-06-05,,0.3494
2014-06-06,,0.3494
2014-06-07,,0.3494
2014-06-08,,0.3494
2014-06-09,,0.3495
2014-06-10,,0.3495
2014-06-11,,0.3495
2014-06-12,,0.3495
2014-06-13,,0.3495
2014-06-14,,0.3495
2014-06-15,,0.3495
2014-06-16,,0.3495
2014-06-17,,0.3495
2014-06-18,,0.3495
2014-06-19,,0.3495
2014-06-20,,0.3495
2014-06-21,,0.3495
2014-06-22,,0.3495
2014-06-23,,0.3496
2014-06-24,,0.3496
2014-06-25,,0.3496
2014-06-26,,0.3496
2014-06-27,,0.3496
2014-06-28,,0.3496
2014-06-29,,0.3497
2014-06-30,,0.3497
2014-07-01,,0.3498
2014-07-02,,0.3498
2014-07-03,,0.3497
2014-07-04,,0.3496
2014-07-05,,0.3496
2014-07-06,,0.3495
2014-07-07,,0.3494
2014-07-08,,0.3494
2014-07-09,,0.3493
2014-07-10,,0.3492
2014-07-11,,0.3491
2014-07-12,,0.349
2014-07-13,,0.3489
2014-07-14,,0.3489
2014-07-15,,0.3488
2014-07-16,,0.3488
2014-07-17,,0.3487
2014-07-18,,0.3487
2014-07-19,,0.3486
2014-07-20,,0.3486
2014-07-21,,0.3486
2014-07-22,,0.3486
2014-07-23,,0.3486
2014-07-24,,0.3486
2014-07-25,,0.3486
2014-07-26,,0.3486
2014-07-27,,0.3486
2014-07-28,,0.3487
2014-07-29,,0.3487
2014-07-30,,0.3487
2014-07-31,,0.3486
2014-08-01,,0.3483
2014-08-02,,0.348
2014-08-03,,0.3478
2014-08-04,,0.3477
2014-08-05,,0.3476
2014-08-06,,0.3474
2014-08-07,,0.3472
2014-08-08,,0.3472
2014-08-09,,0.3473
2014-08-10,,0.3475
2014-08-11,,0.3478
2014-08-12,,0.348
2014-08-13,,0.3484
2014-08-14,,0.3489
2014-08-15,,0.3494
2014-08-16,,0.3501
2014-08-17,,0.3508
2014-08-18,,0.3515
2014-08-19,,0.3523
2014-08-20,,0.3531
2014-08-21,,0.3539
2014-08-22,,0.3549
2014-08-23,0.3552,0.3559
2014-08-24,0.3572,0.357
2014-08-25,0.3575,0.3579
2014-08-26,0.3563,0.3584
2014-08-27,0.3628,0.3584
2014-08-28,0.3637,0.3581
2014-08-29,0.3575,0.3576
2014-08-30,,0.3569
2014-08-31,,0.3563
2014-09-01,,0.3557
2014-09-02,,0.3551
2014-09-03,,0.3544
2014-09-04,,0.3537
2014-09-05,,0.3529
2014-09-06,,0.3523
2014-09-07,,0.3516
2014-09-08,0.3451,0.351
2014-09-09,0.3522,0.3503
2014-09-10,0.3542,0.3497
2014-09-11,0.3377,0.349
2014-09-12,0.3482,0.3484
2014-09-13,0.3498,0.3478
2014-09-14,0.3557,0.3471
2014-09-15,0.348,0.3465
2014-09-16,0.3462,0.3458
2014-09-17,,0.3452
2014-09-18,0.3423,0.3446
2014-09-19,0.3459,0.3439
2014-09-20,0.3399,0.343
2014-09-21,,0.3422
2014-09-22,0.3432,0.3413
2014-09-23,0.3399,0.3404
2014-09-24,0.3422,0.3396
2014-09-25,0.3375,0.3388
2014-09-26,0.3407,0.3382
2014-09-27,0.342,0.3378
2014-09-28,0.333,0.3374
2014-09-29,0.3322,0.3371
2014-09-30,0.3282,0.3368
2014-10-01,0.3357,0.3366
2014-10-02,0.3404,0.3364
2014-10-03,0.343,0.3363
2014-10-04,0.3336,0.3361
2014-10-05,0.3388,0.336
2014-10-06,0.3366,0.336
2014-10-07,0.3295,0.336
2014-10-08,0.3306,0.336
2014-10-09,0.3382,0.336
2014-10-10,0.3287,0.3361
2014-10-11,0.3472,0.3363
2014-10-12,0.3493,0.3365
2014-10-13,0.347,0.3367
2014-10-14,0.33,0.3367
2014-10-15,0.3264,0.3368
2014-10-16,0.3336,0.3369
2014-10-17,0.3301,0.337
2014-10-18,0.332,0.3371
2014-10-19,0.3401,0.3371
2014-10-20,0.3346,0.3371
2014-10-21,0.3422,0.337
2014-10-22,0.3452,0.3368
2014-10-23,0.3425,0.3366
2014-10-24,0.3353,0.3363
2014-10-25,0.3388,0.336
2014-10-26,0.3268,0.3357
2014-10-27,0.3358,0.3353
2014-10-28,0.3345,0.3349
2014-10-29,,0.3345
2014-10-30,0.3357,0.334
2014-10-31,0.3317,0.3333
2014-11-01,,0.3326
2014-11-02,0.3371,0.3319
2014-11-03,0.3375,0.3311
2014-11-04,0.3217,0.3303
2014-11-05,0.3269,0.3296
2014-11-06,0.3293,0.3288
2014-11-07,0.3238,0.3282
2014-11-08,0.3267,0.3275
2014-11-09,,0.3269
2014-11-10,0.3252,0.3262
2014-11-11,0.3295,0.3255
2014-11-12,0.3209,0.3247
2014-11-13,0.3302,0.3238
2014-11-14,0.325,0.3229
2014-11-15,0.3283,0.322
2014-11-16,0.3182,0.3213
2014-11-17,,0.3204
2014-11-18,0.3155,0.3196
2014-11-19,0.3174,0.3188
2014-11-20,0.3158,0.318
2014-11-21,0.3186,0.3173
2014-11-22,0.3154,0.3167
2014-11-23,0.3196,0.3163
2014-11-24,0.3228,0.316
2014-11-25,0.309,0.3159
2014-11-26,0.3058,0.3159
2014-11-27,,0.3159
2014-11-28,,0.316
2014-11-29,,0.3161
2014-11-30,,0.3162
2014-12-01,0.3189,0.3162
2014-12-02,0.3141,0.3162
2014-12-03,0.3198,0.3162
2014-12-04,0.3205,0.3162
2014-12-05,0.3199,0.3163
2014-12-06,0.316,0.3163
2014-12-07,0.3196,0.3164
2014-12-08,0.3183,0.3165
2014-12-09,,0.3166
2014-12-10,0.3086,0.3166
2014-12-11,0.3136,0.3167
2014-12-12,0.3166,0.3167
2014-12-13,0.3135,0.3168
2014-12-14,,0.3168
2014-12-15,0.3134,0.3168
2014-12-16,,0.317
2014-12-17,,0.3171
2014-12-18,,0.3171
2014-12-19,0.3267,0.317
2014-12-20,0.3212,0.3169
2014-12-21,0.3153,0.3167
2014-12-22,,0.3165
2014-12-23,,0.3163
2014-12-24,0.3204,0.3161
2014-12-25,0.3006,0.3159
2014-12-26,0.3311,0.3157
2014-12-27,0.3191,0.3156
2014-12-28,0.3079,0.3154
2014-12-29,0.3175,0.3152
2014-12-30,0.3127,0.315
2014-12-31,0.311,0.3147
2015-01-01,0.314,0.3145
2015-01-02,0.3043,0.3144
2015-01-03,0.29,0.3142
2015-01-04,0.3165,0.3142
2015-01-05,0.3154,0.3144
2015-01-06,0.3172,0.3146
2015-01-07,0.3144,0.3149
2015-01-08,,0.3151
2015-01-09,0.317,0.3153
2015-01-10,0.3186,0.3154
2015-01-11,0.3151,0.3154
2015-01-12,,0.3151
2015-01-13,0.3174,0.3149
2015-01-14,0.3144,0.3145
2015-01-15,0.3159,0.3142
2015-01-16,0.3165,0.3138
2015-01-17,0.3123,0.3133
2015-01-18,0.3087,0.3127
2015-01-19,0.3144,0.312
2015-01-20,0.3072,0.3114
2015-01-21,0.3129,0.3108
2015-01-22,0.3076,0.3103
2015-01-23,0.3071,0.3096
2015-01-24,0.3154,0.3089
2015-01-25,0.3079,0.3083
2015-01-26,0.3081,0.3077
2015-01-27,0.2994,0.3071
2015-01-28,0.3034,0.3066
2015-01-29,0.305,0.3062
2015-01-30,0.3175,0.3058
2015-01-31,0.312,0.3054
2015-02-01,0.3064,0.305
2015-02-02,0.2957,0.3047
2015-02-03,0.2937,0.3044
2015-02-04,0.3155,0.3041
2015-02-05,0.3049,0.3038
2015-02-06,0.3044,0.3036
2015-02-07,0.2963,0.3033
2015-02-08,0.2991,0.3031
2015-02-09,0.3054,0.3029
2015-02-10,0.3105,0.3028
2015-02-11,0.2966,0.3027
2015-02-12,0.3146,0.3026
2015-02-13,0.303,0.3027
2015-02-14,0.2996,0.3028
2015-02-15,0.3017,0.3032
2015-02-16,0.2942,0.3036
2015-02-17,0.2934,0.3039
2015-02-18,0.2996,0.3042
2015-02-19,0.3138,0.3044
2015-02-20,0.3024,0.3046
2015-02-21,0.3054,0.3048
2015-02-22,0.3132,0.305
2015-02-23,0.3122,0.3052
2015-02-24,0.3068,0.3054
2015-02-25,0.3146,0.3055
2015-02-26,0.2996,0.3057
2015-02-27,0.3046,0.3059
2015-02-28,0.3024,0.3061
2015-03-01,0.3012,0.3063
