year,direction,date_10,date_25,date_50,DOY_10,DOY_25,DOY_50
2014,falling,11-19,11-12,10-28,323,316,301
2015,rising,04-10,04-27,05-04,100,117,124
2015,falling,11-24,11-10,10-07,328,314,280
2016,rising,04-15,05-02,05-12,106,123,133
2016,falling,11-25,11-16,10-13,330,321,287
2017,rising,04-23,04-30,05-10,113,120,130
2017,falling,11-17,11-11,11-01,321,315,305
2018,rising,04-20,04-26,05-07,110,116,127
2018,falling,11-14,10-31,10-01,318,304,274
2019,rising,04-25,05-07,05-21,115,127,141
2019,falling,11-12,11-03,09-28,316,307,271
2020,rising,04-26,05-08,05-18,117,129,139
2020,falling,11-15,10-29,10-16,320,303,290
2021,rising,03-28,04-06,05-01,87,96,121
2021,falling,11-23,11-08,10-28,327,312,301
2022,rising,04-24,04-30,05-08,114,120,128
2022,falling,11-18,11-11,10-02,322,315,275
2023,rising,04-09,04-16,04-30,99,106,120
2023,falling,11-18,11-07,10-15,322,311,288
2024,rising,04-03,04-15,05-04,94,106,125
2024,falling,12-18,11-22,10-27,353,327,301
2025,rising,04-17,04-23,05-04,107,113,124
