#
# Transition date estimate for sevilletashrub
#
# Site: sevilletashrub
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2015
# Year max: 2025
# Final Processing Date: 2025-10-02
# Final Processing Time: 00:14:20
# Spline RMSE gcc_mean: 0.00093
# Spline RMSE gcc_50: 0.00097
# Spline RMSE gcc_75: 0.00096
# Spline RMSE gcc_90: 0.00107
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
sevilletashrub,GR,1000,rising,gcc_90,2015-06-22,2015-06-25,2015-07-02,2015-05-18,2015-06-24,2015-06-30,2015-06-23,2015-06-26,2015-07-03,0.34956,0.3537,0.3614,0.34725,0.37346
sevilletashrub,GR,1000,rising,gcc_90,2016-08-06,2016-08-10,2016-08-16,2016-08-05,2016-08-09,2016-08-14,2016-08-07,2016-08-11,2016-08-17,0.35135,0.35373,0.35832,0.35013,0.36518
sevilletashrub,GR,1000,rising,gcc_90,2017-07-19,2017-07-23,2017-07-29,2017-07-18,2017-07-22,2017-07-27,2017-07-21,2017-07-24,2017-07-30,0.35041,0.35421,0.36254,0.34835,0.37426
sevilletashrub,GR,1000,rising,gcc_90,2018-07-10,2018-07-15,2018-08-12,2018-07-09,2018-07-14,2018-08-10,2018-07-12,2018-07-17,2018-08-13,0.35312,0.35621,0.36215,0.35134,0.37135
sevilletashrub,GR,1000,rising,gcc_90,2021-07-04,2021-07-10,2021-07-17,2021-07-03,2021-07-09,2021-07-16,2021-07-06,2021-07-11,2021-07-18,0.34642,0.3516,0.36119,0.34326,0.37804
sevilletashrub,GR,1000,rising,gcc_90,2022-06-24,2022-07-23,2022-08-02,2022-06-23,2022-07-22,2022-08-01,2022-06-26,2022-07-24,2022-08-03,0.34652,0.3503,0.35695,0.34461,0.369
sevilletashrub,GR,1000,rising,gcc_90,2023-08-10,2023-08-13,2023-08-19,2023-08-09,2023-08-12,2023-08-18,2023-08-11,2023-08-15,2023-08-20,0.34824,0.35093,0.35799,0.34621,0.36826
sevilletashrub,GR,1000,rising,gcc_90,2024-07-01,2024-07-08,2024-07-20,2024-06-30,2024-07-07,2024-07-18,2024-07-03,2024-07-10,2024-07-21,0.34973,0.35443,0.36203,0.34739,0.37605
sevilletashrub,GR,1000,rising,gcc_90,2025-06-06,2025-06-12,2025-06-20,2025-06-05,2025-06-11,2025-06-19,2025-06-08,2025-06-14,2025-06-21,0.34774,0.35125,0.35776,0.34544,0.3697
sevilletashrub,GR,1000,rising,gcc_75,2015-06-22,2015-06-24,2015-07-01,2015-05-18,2015-06-23,2015-06-30,2015-06-23,2015-06-26,2015-07-02,0.34919,0.35204,0.35973,0.34688,0.37232
sevilletashrub,GR,1000,rising,gcc_75,2016-08-06,2016-08-10,2016-08-16,2016-08-05,2016-08-09,2016-08-14,2016-08-07,2016-08-11,2016-08-17,0.35062,0.35281,0.35724,0.34964,0.36403
sevilletashrub,GR,1000,rising,gcc_75,2017-07-19,2017-07-23,2017-07-29,2017-07-18,2017-07-22,2017-07-27,2017-07-21,2017-07-24,2017-07-30,0.34978,0.35358,0.36198,0.34772,0.37376
sevilletashrub,GR,1000,rising,gcc_75,2018-07-10,2018-07-15,2018-08-12,2018-07-09,2018-07-14,2018-08-10,2018-07-12,2018-07-17,2018-08-13,0.35252,0.35556,0.36155,0.35104,0.37038
sevilletashrub,GR,1000,rising,gcc_75,2021-07-05,2021-07-10,2021-07-17,2021-07-04,2021-07-09,2021-07-16,2021-07-06,2021-07-12,2021-07-18,0.3456,0.35026,0.35998,0.34233,0.37706
sevilletashrub,GR,1000,rising,gcc_75,2022-07-27,2022-07-31,2022-08-07,2022-07-26,2022-07-30,2022-08-05,2022-07-28,2022-08-02,2022-08-08,0.35146,0.354,0.35929,0.34988,0.36774
sevilletashrub,GR,1000,rising,gcc_75,2023-08-10,2023-08-13,2023-08-19,2023-08-09,2023-08-12,2023-08-18,2023-08-11,2023-08-15,2023-08-20,0.34637,0.34921,0.3564,0.34456,0.36654
sevilletashrub,GR,1000,rising,gcc_75,2024-07-02,2024-07-08,2024-07-21,2024-07-01,2024-07-07,2024-07-19,2024-07-03,2024-07-10,2024-07-22,0.34974,0.35361,0.362,0.34709,0.37528
sevilletashrub,GR,1000,rising,gcc_75,2025-06-06,2025-06-12,2025-06-21,2025-06-05,2025-06-11,2025-06-20,2025-06-08,2025-06-14,2025-06-22,0.34694,0.35056,0.35755,0.34487,0.369
sevilletashrub,GR,1000,rising,gcc_50,2016-08-06,2016-08-10,2016-08-16,2016-08-05,2016-08-09,2016-08-14,2016-08-07,2016-08-11,2016-08-17,0.35009,0.35221,0.35635,0.34912,0.36291
sevilletashrub,GR,1000,rising,gcc_50,2017-07-19,2017-07-23,2017-07-29,2017-07-18,2017-07-22,2017-07-28,2017-07-21,2017-07-25,2017-07-30,0.3493,0.35305,0.36133,0.34727,0.37358
sevilletashrub,GR,1000,rising,gcc_50,2018-07-10,2018-07-14,2018-08-12,2018-07-09,2018-07-13,2018-08-10,2018-07-11,2018-07-16,2018-08-13,0.35199,0.3546,0.3607,0.3502,0.36934
sevilletashrub,GR,1000,rising,gcc_50,2021-07-08,2021-07-12,2021-07-18,2021-07-07,2021-07-11,2021-07-17,2021-07-10,2021-07-14,2021-07-19,0.34741,0.35185,0.36077,0.34494,0.37619
sevilletashrub,GR,1000,rising,gcc_50,2022-07-27,2022-08-01,2022-08-08,2022-07-26,2022-07-31,2022-08-06,2022-07-28,2022-08-02,2022-08-09,0.34996,0.35288,0.3576,0.34881,0.36591
sevilletashrub,GR,1000,rising,gcc_50,2023-08-12,2023-08-15,2023-08-20,2023-08-11,2023-08-14,2023-08-18,2023-08-13,2023-08-16,2023-08-21,0.34721,0.35019,0.35674,0.34539,0.36533
sevilletashrub,GR,1000,rising,gcc_50,2024-07-02,2024-07-09,2024-07-21,2024-07-01,2024-07-08,2024-07-19,2024-07-04,2024-07-10,2024-07-22,0.34911,0.35351,0.36092,0.34676,0.37414
sevilletashrub,GR,1000,rising,gcc_50,2025-06-06,2025-06-12,2025-06-21,2025-06-05,2025-06-11,2025-06-20,2025-06-08,2025-06-14,2025-06-22,0.34645,0.35006,0.35661,0.34436,0.36816
sevilletashrub,GR,1000,rising,gcc_mean,2016-08-06,2016-08-10,2016-08-16,2016-08-05,2016-08-09,2016-08-14,2016-08-07,2016-08-11,2016-08-17,0.35013,0.35228,0.3565,0.34911,0.36307
sevilletashrub,GR,1000,rising,gcc_mean,2017-07-19,2017-07-23,2017-07-29,2017-07-18,2017-07-22,2017-07-28,2017-07-20,2017-07-24,2017-07-30,0.34946,0.35319,0.36137,0.34715,0.37368
sevilletashrub,GR,1000,rising,gcc_mean,2018-07-10,2018-07-15,2018-08-12,2018-07-09,2018-07-14,2018-08-11,2018-07-12,2018-07-17,2018-08-13,0.35206,0.35513,0.36067,0.35057,0.36944
sevilletashrub,GR,1000,rising,gcc_mean,2021-07-08,2021-07-12,2021-07-18,2021-07-07,2021-07-11,2021-07-17,2021-07-09,2021-07-13,2021-07-19,0.3478,0.35221,0.36103,0.34501,0.37631
sevilletashrub,GR,1000,rising,gcc_mean,2022-06-25,2022-07-25,2022-08-04,2022-06-24,2022-07-24,2022-08-02,2022-06-27,2022-07-26,2022-08-05,0.3459,0.3493,0.35547,0.34386,0.36586
sevilletashrub,GR,1000,rising,gcc_mean,2023-08-10,2023-08-13,2023-08-19,2023-08-09,2023-08-12,2023-08-18,2023-08-11,2023-08-15,2023-08-20,0.34594,0.34865,0.35566,0.34422,0.36557
sevilletashrub,GR,1000,rising,gcc_mean,2024-07-02,2024-07-08,2024-07-21,2024-07-01,2024-07-07,2024-07-19,2024-07-03,2024-07-10,2024-07-22,0.34941,0.35315,0.36118,0.34676,0.37435
sevilletashrub,GR,1000,rising,gcc_mean,2025-06-06,2025-06-12,2025-06-21,2025-06-05,2025-06-11,2025-06-20,2025-06-08,2025-06-14,2025-06-22,0.34663,0.35018,0.35692,0.34455,0.36835
sevilletashrub,GR,1000,falling,gcc_90,2024-09-19,2024-09-06,2024-08-25,2024-09-22,2024-09-07,2024-08-27,2024-09-16,2024-09-04,2024-08-24,0.35081,0.35491,0.36267,0.34804,0.37627
sevilletashrub,GR,1000,falling,gcc_90,2023-10-10,2023-10-05,2023-09-29,2023-10-11,2023-10-06,2023-09-30,2023-10-08,2023-10-04,2023-09-28,0.34701,0.35059,0.35643,0.34507,0.36774
sevilletashrub,GR,1000,falling,gcc_90,2022-10-22,2022-09-30,2022-09-17,2022-10-25,2022-10-02,2022-09-19,2022-10-19,2022-09-27,2022-09-16,0.34944,0.35255,0.35866,0.34732,0.36898
sevilletashrub,GR,1000,falling,gcc_90,2021-10-14,2021-09-24,2021-09-12,2021-10-16,2021-09-26,2021-09-14,2021-10-11,2021-09-22,2021-09-11,0.34837,0.35301,0.36247,0.3453,0.37728
sevilletashrub,GR,1000,falling,gcc_90,2020-09-25,2020-09-13,2020-08-28,2020-09-26,2020-09-14,2020-08-29,2020-09-21,2020-09-07,2020-08-27,0.34724,0.34893,0.35205,0.34617,0.35737
sevilletashrub,GR,1000,falling,gcc_90,2017-10-26,2017-09-14,2017-09-02,2017-10-29,2017-09-15,2017-09-04,2017-10-24,2017-09-13,2017-08-31,0.35117,0.35443,0.36137,0.34864,0.37399
sevilletashrub,GR,1000,falling,gcc_90,2016-10-09,2016-10-03,2016-09-24,2016-10-11,2016-10-04,2016-09-26,2016-10-08,2016-10-01,2016-09-23,0.35051,0.35286,0.35745,0.34897,0.36517
sevilletashrub,GR,1000,falling,gcc_90,2015-09-25,2015-09-18,2015-09-12,2015-09-26,2015-09-19,2015-09-13,2015-09-22,2015-09-17,2015-09-11,0.35206,0.35572,0.36192,0.35015,0.37273
sevilletashrub,GR,1000,falling,gcc_75,2024-09-19,2024-09-05,2024-08-24,2024-09-21,2024-09-06,2024-08-26,2024-09-16,2024-09-03,2024-08-23,0.35026,0.35423,0.36187,0.34766,0.37534
sevilletashrub,GR,1000,falling,gcc_75,2023-10-10,2023-10-06,2023-09-29,2023-10-11,2023-10-07,2023-09-30,2023-10-08,2023-10-04,2023-09-28,0.34663,0.34935,0.3559,0.34474,0.36597
sevilletashrub,GR,1000,falling,gcc_75,2022-10-22,2022-09-30,2022-09-18,2022-10-24,2022-10-02,2022-09-19,2022-10-19,2022-09-27,2022-09-17,0.34894,0.35205,0.35741,0.34695,0.36771
sevilletashrub,GR,1000,falling,gcc_75,2021-10-15,2021-09-24,2021-09-12,2021-10-18,2021-09-25,2021-09-14,2021-10-12,2021-09-22,2021-09-11,0.34766,0.3522,0.3617,0.3446,0.37644
sevilletashrub,GR,1000,falling,gcc_75,2020-09-24,2020-09-08,2020-08-26,2020-09-25,2020-09-09,2020-08-27,2020-09-20,2020-09-04,2020-08-25,0.34691,0.34866,0.35197,0.34581,0.35744
sevilletashrub,GR,1000,falling,gcc_75,2017-10-26,2017-09-13,2017-09-02,2017-10-28,2017-09-14,2017-09-04,2017-10-24,2017-09-12,2017-08-31,0.35087,0.3544,0.36113,0.34841,0.37359
sevilletashrub,GR,1000,falling,gcc_75,2016-10-09,2016-10-03,2016-09-24,2016-10-11,2016-10-04,2016-09-26,2016-10-08,2016-10-01,2016-09-23,0.35004,0.35237,0.35669,0.34864,0.36396
sevilletashrub,GR,1000,falling,gcc_75,2015-09-24,2015-09-18,2015-09-12,2015-09-26,2015-09-19,2015-09-13,2015-09-22,2015-09-17,2015-09-11,0.35192,0.35515,0.36129,0.34979,0.37149
sevilletashrub,GR,1000,falling,gcc_50,2024-09-17,2024-09-04,2024-08-24,2024-09-19,2024-09-05,2024-08-26,2024-09-14,2024-09-03,2024-08-23,0.3497,0.35387,0.36107,0.34715,0.3741
sevilletashrub,GR,1000,falling,gcc_50,2023-10-10,2023-10-06,2023-09-29,2023-10-11,2023-10-07,2023-10-01,2023-10-08,2023-10-04,2023-09-28,0.34609,0.34876,0.35526,0.3443,0.36471
