#
# 3-day NDVI summary timeseries for sevilletashrub
#
# Site: sevilletashrub
# Veg Type: GR
# ROI ID Number: 1000
# Lat: 34.334956
# Lon: -106.744469
# Elev: 1603
# UTC Offset: -7
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2025-10-01
# Creation Time: 12:16:02
# Update Date: 2025-10-01
# Update Time: 12:16:05
#
date,year,doy,image_count,midday_rgb_filename,midday_ir_filename,midday_ndvi,gcc_90,ndvi_mean,ndvi_std,ndvi_50,ndvi_75,ndvi_90,max_solar_elev,snow_flag,outlierflag_ndvi_mean,outlierflag_ndvi_50,outlierflag_ndvi_75,outlierflag_ndvi_90
2014-11-16,2014,320,27,sevilletashrub_2014_11_16_110005.jpg,sevilletashrub_IR_2014_11_16_110005.jpg,-0.40760,0.34718,-0.36887,0.05161,-0.37870,-0.33255,-0.30476,36.55340,NA,NA,NA,NA,NA
2014-11-19,2014,323,30,sevilletashrub_2014_11_19_120008.jpg,sevilletashrub_IR_2014_11_19_120008.jpg,-0.53250,0.34720,-0.38211,0.08207,-0.36765,-0.33665,-0.30457,36.31720,NA,NA,NA,NA,NA
2014-11-22,2014,326,32,sevilletashrub_2014_11_22_120007.jpg,sevilletashrub_IR_2014_11_22_120007.jpg,-0.28570,0.34739,-0.39946,0.29426,-0.36285,-0.32417,-0.23762,35.64330,NA,NA,NA,NA,NA
2014-11-25,2014,329,44,sevilletashrub_2014_11_25_120005.jpg,sevilletashrub_IR_2014_11_25_120005.jpg,-0.33720,0.34784,-0.37825,0.06391,-0.38650,-0.32850,-0.30943,35.02480,NA,NA,NA,NA,NA
2014-11-28,2014,332,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-01,2014,335,5,sevilletashrub_2014_12_01_120006.jpg,sevilletashrub_IR_2014_12_01_120006.jpg,-0.43210,0.34708,-0.41472,0.03856,-0.43210,-0.39590,-0.36812,33.80710,NA,NA,NA,NA,NA
2014-12-04,2014,338,2,sevilletashrub_2014_12_03_083005.jpg,sevilletashrub_IR_2014_12_03_083005.jpg,-0.36760,0.34541,-0.35415,0.01345,-0.35415,-0.34742,-0.34339,15.22520,NA,NA,NA,NA,NA
2014-12-07,2014,341,13,sevilletashrub_2014_12_07_120005.jpg,sevilletashrub_IR_2014_12_07_120005.jpg,-0.35310,0.34746,-0.39539,0.05253,-0.42260,-0.35310,-0.31222,33.03060,NA,NA,NA,NA,NA
2014-12-10,2014,344,13,sevilletashrub_2014_12_10_120006.jpg,sevilletashrub_IR_2014_12_10_120006.jpg,-0.45110,0.34770,-0.40422,0.04720,-0.42040,-0.36370,-0.34700,32.73890,NA,NA,NA,NA,NA
2014-12-13,2014,347,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-16,2014,350,13,sevilletashrub_2014_12_15_143006.jpg,sevilletashrub_IR_2014_12_15_143006.jpg,-0.40620,0.34740,-0.40758,0.03567,-0.41280,-0.39800,-0.36416,32.40020,NA,NA,NA,NA,NA
2014-12-19,2014,353,14,sevilletashrub_2014_12_19_110005.jpg,sevilletashrub_IR_2014_12_19_110005.jpg,-0.42720,0.34597,-0.46604,0.22822,-0.40210,-0.36533,-0.35266,30.30380,NA,NA,NA,NA,NA
2014-12-22,2014,356,25,sevilletashrub_2014_12_22_120006.jpg,sevilletashrub_IR_2014_12_22_120006.jpg,-0.34800,0.34802,-0.39779,0.05893,-0.41770,-0.35620,-0.33994,32.24900,NA,NA,NA,NA,NA
2014-12-25,2014,359,32,sevilletashrub_2014_12_25_090005.jpg,sevilletashrub_IR_2014_12_25_090005.jpg,-0.36050,0.34797,-0.41430,0.09441,-0.41130,-0.35578,-0.31474,32.31750,NA,NA,NA,NA,NA
2014-12-28,2014,362,45,sevilletashrub_2014_12_28_120006.jpg,sevilletashrub_IR_2014_12_28_120006.jpg,-0.45890,0.34780,-0.39100,0.05085,-0.38820,-0.34300,-0.33668,32.45380,NA,NA,NA,NA,NA
2014-12-31,2014,365,41,sevilletashrub_2014_12_31_120006.jpg,sevilletashrub_IR_2014_12_31_120006.jpg,-0.45190,0.34770,-0.42203,0.04221,-0.43050,-0.39720,-0.35600,32.65800,NA,NA,NA,NA,NA
2015-01-02,2015,2,9,sevilletashrub_2015_01_02_113006.jpg,sevilletashrub_IR_2015_01_02_113006.jpg,-0.48540,0.34616,-0.39744,0.14571,-0.46700,-0.40500,-0.15766,31.97900,NA,NA,NA,NA,NA
2015-01-05,2015,5,35,sevilletashrub_2015_01_05_120006.jpg,sevilletashrub_IR_2015_01_05_120006.jpg,-0.47860,0.34896,-0.42471,0.06613,-0.44580,-0.38010,-0.34530,33.14670,NA,NA,NA,NA,NA
2015-01-08,2015,8,4,sevilletashrub_2015_01_08_090005.jpg,sevilletashrub_IR_2015_01_08_090005.jpg,-0.37750,0.34660,-0.37585,0.03670,-0.37105,-0.35585,-0.34010,17.17210,NA,NA,NA,NA,NA
2015-01-11,2015,11,17,sevilletashrub_2015_01_11_083005.jpg,sevilletashrub_IR_2015_01_11_083005.jpg,-0.54000,0.34618,-0.45832,0.06840,-0.47230,-0.45490,-0.40630,33.98040,NA,NA,NA,NA,NA
2015-01-14,2015,14,15,sevilletashrub_2015_01_13_160005.jpg,sevilletashrub_IR_2015_01_13_160005.jpg,-0.46810,0.34586,-0.47711,0.03179,-0.48130,-0.46710,-0.43760,34.15430,NA,NA,NA,NA,NA
2015-01-17,2015,17,9,sevilletashrub_2015_01_17_093005.jpg,sevilletashrub_IR_2015_01_17_093005.jpg,-0.36490,0.34732,-0.42010,0.05325,-0.40320,-0.39180,-0.36482,32.19480,NA,NA,NA,NA,NA
2015-01-20,2015,20,7,sevilletashrub_2015_01_20_090006.jpg,sevilletashrub_IR_2015_01_20_090006.jpg,-0.43020,0.34670,-0.44063,0.03457,-0.43370,-0.41460,-0.39640,22.68980,NA,NA,NA,NA,NA
2015-01-23,2015,23,32,sevilletashrub_2015_01_23_120007.jpg,sevilletashrub_IR_2015_01_23_120007.jpg,-0.51260,0.34819,-0.46061,0.08027,-0.45040,-0.41598,-0.39525,36.24210,NA,NA,NA,NA,NA
