date,gcc_mean,smooth_gcc_mean
2014-08-17,,0.3592
2014-08-18,,0.3596
2014-08-19,,0.3599
2014-08-20,,0.3602
2014-08-21,,0.3604
2014-08-22,,0.3607
2014-08-23,,0.3609
2014-08-24,,0.361
2014-08-25,,0.3611
2014-08-26,,0.3612
2014-08-27,,0.3613
2014-08-28,,0.3613
2014-08-29,,0.3613
2014-08-30,,0.3613
2014-08-31,,0.3612
2014-09-01,,0.3611
2014-09-02,,0.3609
2014-09-03,,0.3607
2014-09-04,,0.3605
2014-09-05,,0.3602
2014-09-06,,0.3598
2014-09-07,,0.3594
2014-09-08,,0.359
2014-09-09,,0.3586
2014-09-10,,0.3582
2014-09-11,,0.3578
2014-09-12,,0.3574
2014-09-13,,0.3569
2014-09-14,,0.3564
2014-09-15,,0.356
2014-09-16,,0.3555
2014-09-17,,0.3551
2014-09-18,,0.3547
2014-09-19,,0.3543
2014-09-20,,0.354
2014-09-21,,0.3536
2014-09-22,,0.3533
2014-09-23,,0.353
2014-09-24,,0.3527
2014-09-25,,0.3524
2014-09-26,,0.3521
2014-09-27,,0.3518
2014-09-28,,0.3515
2014-09-29,,0.3512
2014-09-30,,0.351
2014-10-01,,0.3507
2014-10-02,,0.3504
2014-10-03,,0.3502
2014-10-04,,0.35
2014-10-05,,0.3497
2014-10-06,,0.3495
2014-10-07,,0.3493
2014-10-08,,0.3491
2014-10-09,,0.3489
2014-10-10,,0.3487
2014-10-11,,0.3486
2014-10-12,,0.3484
2014-10-13,,0.3483
2014-10-14,,0.3482
2014-10-15,,0.3481
2014-10-16,,0.348
2014-10-17,,0.3479
2014-10-18,,0.3478
2014-10-19,,0.3477
2014-10-20,,0.3476
2014-10-21,,0.3475
2014-10-22,,0.3474
2014-10-23,,0.3474
2014-10-24,,0.3473
2014-10-25,,0.3472
2014-10-26,,0.3472
2014-10-27,,0.3472
2014-10-28,,0.3473
2014-10-29,,0.3473
2014-10-30,,0.3472
2014-10-31,,0.3472
2014-11-01,,0.3471
2014-11-02,,0.3469
2014-11-03,,0.3468
2014-11-04,,0.3467
2014-11-05,,0.3465
2014-11-06,,0.3464
2014-11-07,,0.3463
2014-11-08,,0.3462
2014-11-09,,0.3461
2014-11-10,,0.346
2014-11-11,,0.346
2014-11-12,,0.3459
2014-11-13,,0.3458
2014-11-14,,0.3458
2014-11-15,0.3469,0.3457
2014-11-16,0.3438,0.3457
2014-11-17,0.3459,0.3457
2014-11-18,0.3458,0.3457
2014-11-19,0.3458,0.3458
2014-11-20,,0.3458
2014-11-21,0.3455,0.3459
2014-11-22,0.3463,0.346
