year,direction,date_10,date_25,date_50,DOY_10,DOY_25,DOY_50
2015,falling,09-24,09-19,09-12,267,262,255
2016,rising,08-06,08-10,08-16,219,223,229
2016,falling,10-08,10-02,09-24,282,276,268
2017,rising,07-19,07-23,07-29,200,204,210
2017,falling,10-26,09-13,09-02,299,256,245
2018,rising,07-10,07-15,08-12,191,196,224
2020,falling,09-27,09-12,08-28,271,256,241
2021,rising,07-08,07-12,07-18,189,193,199
2021,falling,10-14,09-23,09-12,287,266,255
2022,rising,06-25,07-25,08-04,176,206,216
2022,falling,10-23,10-01,09-18,296,274,261
2023,rising,08-10,08-13,08-19,222,225,231
2023,falling,10-10,10-06,09-29,283,279,272
2024,rising,07-02,07-08,07-21,184,190,203
2024,falling,09-18,09-05,08-24,262,249,237
2025,rising,06-06,06-12,06-21,157,163,172
