id,longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
2014_01_01,-106.74455942371245,34.33585594725841,2014-01-01,1651.0,2332.0,807.0,MODIS/061/MCD43A4
2014_01_02,-106.74455942371245,34.33585594725841,2014-01-02,1651.0,2328.0,807.0,MODIS/061/MCD43A4
2014_01_03,-106.74455942371245,34.33585594725841,2014-01-03,1647.0,2322.0,806.0,MODIS/061/MCD43A4
2014_01_04,-106.74455942371245,34.33585594725841,2014-01-04,1643.0,2314.0,809.0,MODIS/061/MCD43A4
2014_01_05,-106.74455942371245,34.33585594725841,2014-01-05,1644.0,2316.0,810.0,MODIS/061/MCD43A4
2014_01_06,-106.74455942371245,34.33585594725841,2014-01-06,1651.0,2322.0,813.0,MODIS/061/MCD43A4
2014_01_07,-106.74455942371245,34.33585594725841,2014-01-07,1653.0,2324.0,815.0,MODIS/061/MCD43A4
2014_01_08,-106.74455942371245,34.33585594725841,2014-01-08,1663.0,2331.0,820.0,MODIS/061/MCD43A4
2014_01_09,-106.74455942371245,34.33585594725841,2014-01-09,1661.0,2330.0,821.0,MODIS/061/MCD43A4
2014_01_10,-106.74455942371245,34.33585594725841,2014-01-10,1717.0,2402.0,848.0,MODIS/061/MCD43A4
2014_01_11,-106.74455942371245,34.33585594725841,2014-01-11,1722.0,2408.0,849.0,MODIS/061/MCD43A4
2014_01_12,-106.74455942371245,34.33585594725841,2014-01-12,1730.0,2416.0,853.0,MODIS/061/MCD43A4
2014_01_13,-106.74455942371245,34.33585594725841,2014-01-13,1728.0,2414.0,851.0,MODIS/061/MCD43A4
2014_01_14,-106.74455942371245,34.33585594725841,2014-01-14,1733.0,2420.0,853.0,MODIS/061/MCD43A4
2014_01_15,-106.74455942371245,34.33585594725841,2014-01-15,1739.0,2428.0,859.0,MODIS/061/MCD43A4
2014_01_16,-106.74455942371245,34.33585594725841,2014-01-16,1742.0,2432.0,862.0,MODIS/061/MCD43A4
2014_01_17,-106.74455942371245,34.33585594725841,2014-01-17,1745.0,2437.0,863.0,MODIS/061/MCD43A4
2014_01_18,-106.74455942371245,34.33585594725841,2014-01-18,1748.0,2441.0,865.0,MODIS/061/MCD43A4
2014_01_19,-106.74455942371245,34.33585594725841,2014-01-19,1762.0,2456.0,871.0,MODIS/061/MCD43A4
2014_01_20,-106.74455942371245,34.33585594725841,2014-01-20,1776.0,2473.0,876.0,MODIS/061/MCD43A4
2014_01_21,-106.74455942371245,34.33585594725841,2014-01-21,1780.0,2478.0,877.0,MODIS/061/MCD43A4
