#
# Transition date estimate for stevensonoaks001
#
# Site: stevensonoaks001
# Veg Type: AG
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2023
# Year max: 2025
# Final Processing Date: 2025-10-02
# Final Processing Time: 00:15:45
# Spline RMSE gcc_mean: 0.0032
# Spline RMSE gcc_50: 0.00387
# Spline RMSE gcc_75: 0.00629
# Spline RMSE gcc_90: 0.00331
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
stevensonoaks001,AG,1000,rising,gcc_90,2023-07-13,2023-07-15,2023-07-18,2023-07-10,2023-07-10,2023-07-10,2025-04-09,2025-04-09,2025-04-09,0.34436,0.34959,0.36351,0.34331,0.36931
stevensonoaks001,AG,1000,rising,gcc_90,2025-03-31,2025-04-01,2025-04-04,2023-07-10,2023-07-10,2023-07-10,2025-04-09,2025-04-09,2025-04-09,0.36328,0.36729,0.38175,0.36225,0.40103
stevensonoaks001,AG,1000,rising,gcc_75,2023-07-08,2023-07-09,2023-07-10,2023-07-07,2023-07-08,2023-07-09,2023-07-09,2023-07-10,2023-07-11,0.2705,0.29322,0.33299,0.28186,0.37154
stevensonoaks001,AG,1000,rising,gcc_50,2023-07-11,2023-07-12,2023-07-14,2023-07-10,2023-07-10,2023-07-10,2025-04-09,2025-04-09,2025-04-09,0.27147,0.28685,0.34279,0.26833,0.36577
stevensonoaks001,AG,1000,rising,gcc_mean,2023-07-11,2023-07-12,2023-07-14,2023-07-10,2023-07-10,2023-07-10,2025-04-09,2025-04-09,2025-04-09,0.29299,0.30682,0.35113,0.28876,0.36672
stevensonoaks001,AG,1000,falling,gcc_90,2025-07-26,2025-07-23,2025-06-17,2025-07-27,2025-07-24,2025-06-26,2025-07-24,2025-07-21,2025-06-16,0.36692,0.37027,0.37867,0.36491,0.39143
stevensonoaks001,AG,1000,falling,gcc_90,2024-05-18,2024-05-15,2024-05-08,2025-04-09,2025-04-09,2025-04-09,2023-07-10,2023-07-10,2023-07-10,0.36928,0.37183,0.37741,0.36756,0.38496
stevensonoaks001,AG,1000,falling,gcc_90,2023-05-20,2023-05-08,2023-05-04,2023-05-22,2023-05-19,2023-05-05,2023-05-18,2023-05-06,2023-05-03,0.35192,0.35491,0.3601,0.35052,0.36883
stevensonoaks001,AG,1000,falling,gcc_75,2025-07-26,2025-07-07,2025-07-03,2025-07-27,2025-07-08,2025-07-04,2025-07-23,2025-07-06,2025-06-14,0.36497,0.36867,0.37559,0.36321,0.38737
stevensonoaks001,AG,1000,falling,gcc_75,2023-07-03,2023-07-02,2023-06-21,2023-07-04,2023-07-03,2023-06-26,2023-07-01,2023-06-30,2023-06-19,0.30171,0.3228,0.34415,0.3228,0.36486
stevensonoaks001,AG,1000,falling,gcc_50,2025-07-24,2025-06-28,2025-06-06,2025-07-25,2025-07-07,2025-06-07,2025-07-23,2025-06-22,2025-06-05,0.36125,0.36578,0.37219,0.35942,0.38489
stevensonoaks001,AG,1000,falling,gcc_50,2023-07-03,2023-07-02,2023-06-30,2023-07-04,2023-07-03,2023-07-01,2023-07-02,2023-07-01,2023-06-29,0.26942,0.2871,0.33332,0.26339,0.3628
stevensonoaks001,AG,1000,falling,gcc_mean,2025-07-25,2025-07-09,2025-06-14,2025-07-27,2025-07-23,2025-06-21,2025-07-23,2025-07-05,2025-06-13,0.3626,0.36623,0.37329,0.36052,0.38461
stevensonoaks001,AG,1000,falling,gcc_mean,2023-06-30,2023-06-26,2023-06-20,2023-07-01,2023-06-27,2023-06-22,2023-06-29,2023-06-25,2023-06-19,0.30559,0.31318,0.33268,0.29992,0.3637
