#
# 3-day NDVI summary timeseries for stevensonoaks001
#
# Site: stevensonoaks001
# Veg Type: AG
# ROI ID Number: 1000
# Lat: 34.4566
# Lon: -119.2426
# Elev: 247
# UTC Offset: -8
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2025-10-01
# Creation Time: 12:38:49
# Update Date: 2025-10-01
# Update Time: 12:38:50
#
date,year,doy,image_count,midday_rgb_filename,midday_ir_filename,midday_ndvi,gcc_90,ndvi_mean,ndvi_std,ndvi_50,ndvi_75,ndvi_90,max_solar_elev,snow_flag,outlierflag_ndvi_mean,outlierflag_ndvi_50,outlierflag_ndvi_75,outlierflag_ndvi_90
2023-03-24,2023,83,52,stevensonoaks001_2023_03_24_115405.jpg,stevensonoaks001_IR_2023_03_24_115405.jpg,-0.08100,0.36279,-0.10803,0.09169,-0.08300,-0.06300,-0.03643,57.43530,NA,NA,NA,NA,NA
2023-03-27,2023,86,63,stevensonoaks001_2023_03_27_115405.jpg,stevensonoaks001_IR_2023_03_27_115405.jpg,-0.09440,0.35550,-0.09799,0.07460,-0.07850,-0.05625,-0.02726,58.62120,NA,NA,NA,NA,NA
2023-03-30,2023,89,62,stevensonoaks001_2023_03_30_112405.jpg,stevensonoaks001_IR_2023_03_30_112405.jpg,-0.32680,0.35988,-0.09248,0.11481,-0.08300,-0.04752,-0.00794,59.79690,NA,NA,NA,NA,NA
2023-04-02,2023,92,66,stevensonoaks001_2023_04_02_115405.jpg,stevensonoaks001_IR_2023_04_02_115405.jpg,-0.08490,0.35775,-0.10226,0.06418,-0.07940,-0.06120,-0.05055,60.95980,NA,NA,NA,NA,NA
2023-04-05,2023,95,66,stevensonoaks001_2023_04_05_115406.jpg,stevensonoaks001_IR_2023_04_05_115406.jpg,-0.09950,0.35635,-0.11869,0.05897,-0.10075,-0.07785,-0.06695,62.10730,NA,NA,NA,NA,NA
2023-04-08,2023,98,66,stevensonoaks001_2023_04_08_115405.jpg,stevensonoaks001_IR_2023_04_08_115405.jpg,-0.08930,0.36335,-0.11832,0.05533,-0.10270,-0.08038,-0.06860,63.23670,NA,NA,NA,NA,NA
2023-04-11,2023,101,68,stevensonoaks001_2023_04_11_115406.jpg,stevensonoaks001_IR_2023_04_11_115406.jpg,-0.09620,0.36883,-0.11207,0.06928,-0.09535,-0.07838,-0.05244,64.34550,NA,NA,NA,NA,NA
2023-04-14,2023,104,69,stevensonoaks001_2023_04_14_115405.jpg,stevensonoaks001_IR_2023_04_14_115405.jpg,-0.08880,0.37182,-0.08538,0.04236,-0.07650,-0.06290,-0.04032,65.43160,NA,NA,NA,NA,NA
2023-04-17,2023,107,66,stevensonoaks001_2023_04_17_115405.jpg,stevensonoaks001_IR_2023_04_17_115405.jpg,-0.03740,0.37195,-0.07705,0.05798,-0.06320,-0.03782,-0.02990,66.49250,NA,NA,NA,NA,NA
2023-04-20,2023,110,67,stevensonoaks001_2023_04_20_115405.jpg,stevensonoaks001_IR_2023_04_20_115405.jpg,-0.02190,0.36464,-0.08752,0.05193,-0.08430,-0.05195,-0.02286,67.52500,NA,NA,NA,NA,NA
2023-04-23,2023,113,68,stevensonoaks001_2023_04_23_115405.jpg,stevensonoaks001_IR_2023_04_23_115405.jpg,-0.08680,0.36473,-0.09641,0.05116,-0.09265,-0.06338,-0.02785,68.52710,NA,NA,NA,NA,NA
2023-04-26,2023,116,69,stevensonoaks001_2023_04_26_115405.jpg,stevensonoaks001_IR_2023_04_26_115405.jpg,-0.08020,0.36500,-0.09229,0.05942,-0.08430,-0.05050,-0.02326,69.49630,NA,NA,NA,NA,NA
2023-04-29,2023,119,62,stevensonoaks001_2023_04_29_115405.jpg,stevensonoaks001_IR_2023_04_29_115405.jpg,-0.09440,0.36530,-0.08714,0.04955,-0.07740,-0.04917,-0.02924,70.43000,NA,NA,NA,NA,NA
2023-05-02,2023,122,64,stevensonoaks001_2023_05_02_115407.jpg,stevensonoaks001_IR_2023_05_02_115407.jpg,-0.08880,0.36679,-0.13205,0.14733,-0.09355,-0.06898,-0.04582,71.32630,NA,NA,NA,NA,NA
2023-05-05,2023,125,46,stevensonoaks001_2023_05_05_115405.jpg,stevensonoaks001_IR_2023_05_05_115405.jpg,-0.17560,0.36015,-0.13417,0.04372,-0.13790,-0.11570,-0.09455,71.90200,NA,NA,NA,NA,NA
2023-05-08,2023,128,69,stevensonoaks001_2023_05_08_115405.jpg,stevensonoaks001_IR_2023_05_08_115405.jpg,-0.22910,0.35570,-0.19300,0.07623,-0.18600,-0.15750,-0.13478,72.99840,NA,NA,NA,NA,NA
2023-05-11,2023,131,73,stevensonoaks001_2023_05_11_115406.jpg,stevensonoaks001_IR_2023_05_11_115406.jpg,-0.20460,0.35300,-0.20099,0.06946,-0.19200,-0.16180,-0.13454,73.77030,NA,NA,NA,NA,NA
2023-05-14,2023,134,75,stevensonoaks001_2023_05_14_115405.jpg,stevensonoaks001_IR_2023_05_14_115405.jpg,-0.18330,0.35876,-0.17976,0.05063,-0.17330,-0.14530,-0.12094,74.49670,NA,NA,NA,NA,NA
2023-05-17,2023,137,75,stevensonoaks001_2023_05_17_115405.jpg,stevensonoaks001_IR_2023_05_17_115405.jpg,-0.22910,0.35728,-0.19110,0.07821,-0.18880,-0.15090,-0.09510,75.17520,NA,NA,NA,NA,NA
2023-05-20,2023,140,61,stevensonoaks001_2023_05_20_115405.jpg,stevensonoaks001_IR_2023_05_20_115405.jpg,-0.26510,0.35260,-0.22573,0.07105,-0.20420,-0.18010,-0.15140,75.60000,NA,NA,NA,NA,NA
2023-05-23,2023,143,66,stevensonoaks001_2023_05_23_115407.jpg,stevensonoaks001_IR_2023_05_23_115407.jpg,-0.25970,0.35100,-0.21690,0.05173,-0.21775,-0.19283,-0.16660,76.38030,NA,NA,NA,NA,NA
2023-05-26,2023,146,75,stevensonoaks001_2023_05_26_115405.jpg,stevensonoaks001_IR_2023_05_26_115405.jpg,-0.21570,0.35170,-0.21814,0.03654,-0.21570,-0.20205,-0.18734,76.90260,NA,NA,NA,NA,NA
2023-05-29,2023,149,75,stevensonoaks001_2023_05_29_115405.jpg,stevensonoaks001_IR_2023_05_29_115405.jpg,-0.23290,0.35236,-0.22652,0.05697,-0.22560,-0.19935,-0.18278,77.36870,NA,NA,NA,NA,NA
2023-06-01,2023,152,75,stevensonoaks001_2023_06_01_115405.jpg,stevensonoaks001_IR_2023_06_01_115405.jpg,-0.24900,0.35240,-0.24271,0.04303,-0.23740,-0.21270,-0.19726,77.77710,NA,NA,NA,NA,NA
2023-06-04,2023,155,75,stevensonoaks001_2023_06_04_115405.jpg,stevensonoaks001_IR_2023_06_04_115405.jpg,-0.21690,0.34956,-0.25345,0.05280,-0.24360,-0.21280,-0.18548,78.12600,NA,NA,NA,NA,NA
2023-06-07,2023,158,75,stevensonoaks001_2023_06_07_115405.jpg,stevensonoaks001_IR_2023_06_07_115405.jpg,-0.25240,0.35226,-0.26336,0.09124,-0.26140,-0.22395,-0.18752,78.41430,NA,NA,NA,NA,NA
2023-06-10,2023,161,73,stevensonoaks001_2023_06_10_115405.jpg,stevensonoaks001_IR_2023_06_10_115405.jpg,-0.31770,0.35068,-0.27330,0.03106,-0.27520,-0.25280,-0.23380,78.64050,NA,NA,NA,NA,NA
2023-06-13,2023,164,75,stevensonoaks001_2023_06_13_115406.jpg,stevensonoaks001_IR_2023_06_13_115406.jpg,-0.35820,0.35026,-0.29797,0.03332,-0.30100,-0.28685,-0.26228,78.80370,NA,NA,NA,NA,NA
2023-06-16,2023,167,74,stevensonoaks001_2023_06_16_115405.jpg,stevensonoaks001_IR_2023_06_16_115405.jpg,-0.31650,0.34941,-0.39243,0.23283,-0.31170,-0.28985,-0.26487,78.90310,NA,NA,NA,NA,NA
2023-06-19,2023,170,75,stevensonoaks001_2023_06_19_115405.jpg,stevensonoaks001_IR_2023_06_19_115405.jpg,-0.23520,0.34696,-0.36824,0.17561,-0.32620,-0.29755,-0.25800,78.93860,NA,NA,NA,NA,NA
2023-06-22,2023,173,75,stevensonoaks001_2023_06_22_115405.jpg,stevensonoaks001_IR_2023_06_22_115405.jpg,-0.38350,0.34446,-0.42861,0.22978,-0.36100,-0.31370,-0.28128,78.93670,NA,NA,NA,NA,NA
2023-06-25,2023,176,75,stevensonoaks001_2023_06_25_115406.jpg,stevensonoaks001_IR_2023_06_25_115406.jpg,-1.00090,0.34386,-0.58284,0.32292,-0.39980,-0.35705,-0.30966,78.88710,NA,NA,NA,NA,NA
2023-06-28,2023,179,75,stevensonoaks001_2023_06_28_115405.jpg,stevensonoaks001_IR_2023_06_28_115405.jpg,-0.39550,0.34292,-0.57552,0.30285,-0.40440,-0.34050,-0.31222,78.77560,NA,NA,NA,NA,NA
2023-07-01,2023,182,75,stevensonoaks001_2023_07_01_115405.jpg,stevensonoaks001_IR_2023_07_01_115405.jpg,-1.00010,0.34274,-0.74441,0.30414,-0.99120,-0.39185,-0.36854,78.60180,NA,NA,NA,NA,NA
2023-07-04,2023,185,74,stevensonoaks001_2023_07_04_115405.jpg,stevensonoaks001_IR_2023_07_04_115405.jpg,-0.38170,0.34054,-0.81074,0.30270,-0.99850,-0.40425,-0.34314,78.36830,NA,NA,NA,NA,NA
2023-07-07,2023,188,75,stevensonoaks001_2023_07_07_115405.jpg,stevensonoaks001_IR_2023_07_07_115405.jpg,-0.99770,0.33926,-0.85102,0.26855,-0.99760,-0.98655,-0.38836,78.07620,NA,NA,NA,NA,NA
2023-07-10,2023,191,50,stevensonoaks001_2023_07_10_115405.jpg,stevensonoaks001_IR_2023_07_10_115405.jpg,-1.00180,0.33832,-0.84119,0.27412,-0.99875,-0.56400,-0.39181,77.72710,NA,NA,NA,NA,NA
2023-07-13,2023,194,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-16,2023,197,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-19,2023,200,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-22,2023,203,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-25,2023,206,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-28,2023,209,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-31,2023,212,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-08-03,2023,215,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-08-06,2023,218,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-08-09,2023,221,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-08-12,2023,224,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-08-15,2023,227,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-08-18,2023,230,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-08-21,2023,233,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-08-24,2023,236,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-08-27,2023,239,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-08-30,2023,242,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-09-02,2023,245,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-09-05,2023,248,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-09-08,2023,251,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-09-11,2023,254,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-09-14,2023,257,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-09-17,2023,260,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-09-20,2023,263,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-09-23,2023,266,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-09-26,2023,269,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-09-29,2023,272,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-10-02,2023,275,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-10-05,2023,278,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-10-08,2023,281,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-10-11,2023,284,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-10-14,2023,287,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-10-17,2023,290,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-10-20,2023,293,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-10-23,2023,296,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-10-26,2023,299,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-10-29,2023,302,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-11-01,2023,305,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-11-04,2023,308,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-11-07,2023,311,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-11-10,2023,314,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-11-13,2023,317,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-11-16,2023,320,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-11-19,2023,323,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-11-22,2023,326,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-11-25,2023,329,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-11-28,2023,332,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-12-01,2023,335,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-12-04,2023,338,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-12-07,2023,341,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-12-10,2023,344,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-12-13,2023,347,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-12-16,2023,350,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-12-19,2023,353,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-12-22,2023,356,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-12-25,2023,359,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-12-28,2023,362,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-12-31,2023,365,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-01-02,2024,2,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-01-05,2024,5,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-01-08,2024,8,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-01-11,2024,11,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-01-14,2024,14,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-01-17,2024,17,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-01-20,2024,20,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-01-23,2024,23,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-01-26,2024,26,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-01-29,2024,29,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-02-01,2024,32,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-02-04,2024,35,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-02-07,2024,38,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-02-10,2024,41,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-02-13,2024,44,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-02-16,2024,47,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-02-19,2024,50,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-02-22,2024,53,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-02-25,2024,56,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-02-28,2024,59,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-03-02,2024,62,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-03-05,2024,65,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-03-08,2024,68,0,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
