date,gcc_mean,smooth_gcc_mean
2022-12-23,,0.3621
2022-12-24,,0.3621
2022-12-25,,0.3621
2022-12-26,,0.3621
2022-12-27,,0.3621
2022-12-28,,0.3621
2022-12-29,,0.3621
2022-12-30,,0.3621
2022-12-31,,0.3621
2023-01-01,,0.3621
2023-01-02,,0.3621
2023-01-03,,0.3621
2023-01-04,,0.3621
2023-01-05,,0.3621
2023-01-06,,0.3621
2023-01-07,,0.3621
2023-01-08,,0.3621
2023-01-09,,0.3621
2023-01-10,,0.3621
2023-01-11,,0.3621
2023-01-12,,0.3621
2023-01-13,,0.3621
2023-01-14,,0.3621
2023-01-15,,0.3621
2023-01-16,,0.3621
2023-01-17,,0.3621
2023-01-18,,0.3621
2023-01-19,,0.3621
2023-01-20,,0.3621
2023-01-21,,0.3621
2023-01-22,,0.3621
2023-01-23,,0.3621
2023-01-24,,0.3621
2023-01-25,,0.3621
2023-01-26,,0.3621
2023-01-27,,0.3621
2023-01-28,,0.3621
2023-01-29,,0.3621
2023-01-30,,0.3621
2023-01-31,,0.3621
2023-02-01,,0.3621
2023-02-02,,0.3621
2023-02-03,,0.3621
2023-02-04,,0.3621
2023-02-05,,0.3621
2023-02-06,,0.3621
2023-02-07,,0.3621
2023-02-08,,0.3621
2023-02-09,,0.3621
2023-02-10,,0.3621
2023-02-11,,0.3621
2023-02-12,,0.3621
2023-02-13,,0.3621
2023-02-14,,0.3621
2023-02-15,,0.3621
2023-02-16,,0.3621
2023-02-17,,0.3621
2023-02-18,,0.3621
2023-02-19,,0.3621
2023-02-20,,0.3621
2023-02-21,,0.3621
2023-02-22,,0.3621
2023-02-23,,0.3621
2023-02-24,,0.3621
2023-02-25,,0.3621
2023-02-26,,0.3621
2023-02-27,,0.3621
2023-02-28,,0.3621
2023-03-01,,0.3621
2023-03-02,,0.3621
2023-03-03,,0.3621
2023-03-04,,0.3621
2023-03-05,,0.3621
2023-03-06,,0.3621
2023-03-07,,0.3621
2023-03-08,,0.3621
2023-03-09,,0.3621
2023-03-10,,0.3621
2023-03-11,,0.3621
2023-03-12,,0.3621
2023-03-13,,0.3621
2023-03-14,,0.3621
2023-03-15,,0.3621
2023-03-16,,0.3621
2023-03-17,,0.3621
2023-03-18,,0.3621
2023-03-19,,0.3621
2023-03-20,,0.3658
2023-03-21,,0.3683
2023-03-22,,0.3679
2023-03-23,0.3621,0.3616
2023-03-24,0.3559,0.3571
2023-03-25,0.3543,0.3545
2023-03-26,0.3536,0.3531
2023-03-27,0.3528,0.3527
