date,gcc_mean,smooth_gcc_mean
2023-01-26,,0.2946
2023-01-27,,0.2952
2023-01-28,,0.2958
2023-01-29,,0.2964
2023-01-30,,0.2971
2023-01-31,,0.2976
2023-02-01,,0.2983
2023-02-02,,0.2989
2023-02-03,,0.2993
2023-02-04,,0.2988
2023-02-05,,0.2978
2023-02-06,,0.2969
2023-02-07,,0.2963
2023-02-08,,0.2959
2023-02-09,,0.2959
2023-02-10,,0.2968
2023-02-11,,0.2982
2023-02-12,,0.299
2023-02-13,,0.2988
2023-02-14,,0.2981
2023-02-15,,0.2973
2023-02-16,,0.2965
2023-02-17,,0.2956
2023-02-18,,0.2954
2023-02-19,,0.2962
2023-02-20,,0.2977
2023-02-21,,0.2989
2023-02-22,,0.2993
2023-02-23,,0.2994
2023-02-24,,0.2996
2023-02-25,,0.3
2023-02-26,,0.3005
2023-02-27,,0.3013
2023-02-28,,0.3025
2023-03-01,,0.3041
2023-03-02,,0.3062
2023-03-03,,0.3092
2023-03-04,,0.3128
2023-03-05,,0.3164
2023-03-06,,0.3202
2023-03-07,,0.3242
2023-03-08,,0.3269
2023-03-09,,0.3276
2023-03-10,,0.3271
2023-03-11,,0.3264
2023-03-12,,0.3253
2023-03-13,,0.3237
2023-03-14,,0.3232
2023-03-15,,0.325
2023-03-16,,0.3278
2023-03-17,,0.3299
2023-03-18,,0.3303
2023-03-19,,0.3299
2023-03-20,,0.3297
2023-03-21,,0.3298
2023-03-22,,0.33
2023-03-23,,0.331
2023-03-24,,0.3334
2023-03-25,,0.3366
2023-03-26,,0.3393
2023-03-27,,0.341
2023-03-28,,0.3423
2023-03-29,,0.3436
2023-03-30,,0.3451
2023-03-31,,0.3466
2023-04-01,,0.3484
2023-04-02,,0.3509
2023-04-03,,0.3536
2023-04-04,,0.3553
2023-04-05,,0.356
2023-04-06,,0.3559
2023-04-07,,0.3546
2023-04-08,,0.3519
2023-04-09,,0.3481
2023-04-10,,0.3427
2023-04-11,,0.3345
2023-04-12,,0.3244
2023-04-13,,0.3154
2023-04-14,,0.3076
2023-04-15,,0.3003
2023-04-16,,0.2949
2023-04-17,,0.2927
2023-04-18,,0.2925
2023-04-19,,0.2924
2023-04-20,,0.2926
2023-04-21,,0.2938
2023-04-22,,0.2948
2023-04-23,,0.2955
2023-04-24,,0.2963
2023-04-25,,0.2967
2023-04-26,0.297,0.2969
2023-04-27,0.2964,0.2973
2023-04-28,0.2991,0.298
2023-04-29,0.2964,0.2988
2023-04-30,0.2992,0.2995
2023-05-01,0.3029,0.2999
2023-05-02,0.3009,0.3001
2023-05-03,0.2984,0.3005
2023-05-04,0.3009,0.3008
2023-05-05,0.3023,0.301
2023-05-06,0.3008,0.3021
2023-05-07,0.3049,0.3041
2023-05-08,0.3056,0.3068
2023-05-09,0.3122,0.3106
2023-05-10,0.3141,0.3158
2023-05-11,0.3214,0.3223
2023-05-12,0.3294,0.3293
2023-05-13,0.3358,0.3369
2023-05-14,0.3486,0.3452
2023-05-15,0.3528,0.3535
2023-05-16,0.3662,0.3626
2023-05-17,0.3699,0.3724
2023-05-18,0.3706,0.3816
2023-05-19,0.3913,0.3912
2023-05-20,0.4014,0.4007
2023-05-21,0.4227,0.406
2023-05-22,0.4058,0.4069
2023-05-23,0.3958,0.4066
2023-05-24,,0.4068
2023-05-25,,0.406
2023-05-26,,0.4044
2023-05-27,,0.4055
2023-05-28,,0.4104
2023-05-29,0.4125,0.4173
2023-05-30,0.4252,0.4254
2023-05-31,0.4364,0.4296
2023-06-01,0.4307,0.4278
2023-06-02,0.4286,0.4238
2023-06-03,0.408,0.4173
2023-06-04,0.4124,0.4083
2023-06-05,0.3978,0.4005
2023-06-06,0.3911,0.3952
2023-06-07,0.3893,0.3906
2023-06-08,0.3895,0.3862
2023-06-09,0.3839,0.3816
2023-06-10,0.3808,0.3771
2023-06-11,0.3712,0.3733
2023-06-12,0.362,0.3702
2023-06-13,0.3726,0.3677
2023-06-14,0.3633,0.3662
2023-06-15,0.3689,0.3662
2023-06-16,0.3636,0.3673
2023-06-17,0.3732,0.3682
2023-06-18,0.3671,0.3687
2023-06-19,0.3653,0.3693
2023-06-20,0.3724,0.3692
2023-06-21,0.3736,0.368
2023-06-22,0.3634,0.3661
2023-06-23,0.3622,0.3643
2023-06-24,0.3627,0.3625
2023-06-25,0.3618,0.3607
2023-06-26,0.3566,0.3595
2023-06-27,0.3567,0.3594
2023-06-28,0.363,0.3598
2023-06-29,0.3621,0.36
2023-06-30,0.3609,0.3599
2023-07-01,0.3588,0.3598
2023-07-02,0.3571,0.3596
2023-07-03,0.3612,0.3596
2023-07-04,0.3591,0.3596
2023-07-05,0.3598,0.3597
2023-07-06,0.3591,0.3597
2023-07-07,0.3611,0.3596
2023-07-08,0.3588,0.3594
2023-07-09,0.3595,0.3588
2023-07-10,0.3573,0.358
2023-07-11,0.3582,0.3573
2023-07-12,0.3571,0.3566
2023-07-13,0.3541,0.3559
2023-07-14,0.357,0.3555
2023-07-15,0.3545,0.3558
2023-07-16,0.3551,0.3563
2023-07-17,0.3575,0.3568
2023-07-18,0.3592,0.3572
2023-07-19,0.3573,0.3578
2023-07-20,0.3572,0.3582
2023-07-21,0.3589,0.3586
2023-07-22,0.3588,0.3589
2023-07-23,0.3577,0.359
2023-07-24,0.3603,0.3587
2023-07-25,0.3589,0.3582
2023-07-26,0.3592,0.3578
2023-07-27,0.3562,0.3576
2023-07-28,0.3552,0.3575
2023-07-29,0.3567,0.3577
2023-07-30,0.362,0.3584
2023-07-31,0.358,0.3595
2023-08-01,0.3602,0.3604
2023-08-02,0.361,0.3611
2023-08-03,0.3606,0.3615
2023-08-04,0.363,0.3614
2023-08-05,0.362,0.3609
2023-08-06,0.3602,0.3605
2023-08-07,0.3584,0.36
2023-08-08,0.3576,0.3595
2023-08-09,0.3601,0.3587
2023-08-10,0.3594,0.3578
2023-08-11,0.3569,0.3567
2023-08-12,0.3567,0.3556
2023-08-13,0.3528,0.3544
2023-08-14,0.3526,0.3531
2023-08-15,0.3491,0.3519
2023-08-16,0.3536,0.3509
2023-08-17,0.3514,0.3501
2023-08-18,0.3483,0.349
2023-08-19,0.3471,0.3475
2023-08-20,0.3447,0.3457
2023-08-21,0.3445,0.3436
2023-08-22,0.3414,0.3411
2023-08-23,0.3385,0.3383
2023-08-24,0.3357,0.3351
2023-08-25,0.3308,0.3311
2023-08-26,0.3271,0.3265
2023-08-27,0.3226,0.3223
2023-08-28,0.319,0.3185
2023-08-29,0.314,0.315
2023-08-30,0.3087,0.312
2023-08-31,0.3096,0.3101
2023-09-01,0.3116,0.3089
2023-09-02,0.3084,0.3076
2023-09-03,0.3057,0.3062
2023-09-04,0.3048,0.3049
2023-09-05,0.3041,0.3036
2023-09-06,0.3025,0.3024
2023-09-07,0.3002,0.3012
2023-09-08,0.302,0.3005
2023-09-09,0.298,0.3003
2023-09-10,0.2997,0.3003
2023-09-11,0.3029,0.3006
2023-09-12,0.3016,0.3011
2023-09-13,0.3003,0.3018
2023-09-14,,0.3028
2023-09-15,,0.3075
2023-09-16,,0.3177
2023-09-17,,0.33
2023-09-18,,0.3461
2023-09-19,,0.3631
2023-09-20,,0.371
2023-09-21,,0.3711
2023-09-22,,0.3711
2023-09-23,,0.3708
