#
# Transition date estimate for tworfaa
#
# Site: tworfaa
# Veg Type: AG
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2018
# Year max: 2023
# Final Processing Date: 2025-10-02
# Final Processing Time: 00:16:32
# Spline RMSE gcc_mean: 0.00408
# Spline RMSE gcc_50: 0.00447
# Spline RMSE gcc_75: 0.0041
# Spline RMSE gcc_90: 0.00424
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
tworfaa,AG,1000,rising,gcc_90,2018-04-24,2018-04-28,2018-05-05,2018-04-22,2018-04-27,2018-05-02,2018-04-27,2018-05-01,2018-05-06,0.379,0.38926,0.41146,0.37439,0.44308
tworfaa,AG,1000,rising,gcc_90,2018-08-15,2018-08-21,2018-08-28,2018-08-14,2018-08-20,2018-08-27,2018-08-18,2018-08-23,2018-08-29,0.34564,0.36111,0.38962,0.33684,0.43805
tworfaa,AG,1000,rising,gcc_90,2019-04-28,2019-05-01,2019-05-07,2019-04-26,2019-04-30,2019-05-05,2019-04-30,2019-05-04,2019-05-09,0.35,0.35878,0.37906,0.34361,0.41443
tworfaa,AG,1000,rising,gcc_90,2019-11-19,2019-11-25,2019-12-11,2019-11-18,2019-11-24,2019-12-10,2019-11-23,2019-11-29,2019-12-16,0.35126,0.35989,0.37907,0.34465,0.412
tworfaa,AG,1000,rising,gcc_90,2020-11-14,2020-11-21,2020-12-17,2020-11-09,2020-11-18,2020-12-16,2020-11-18,2020-11-25,2020-12-21,0.35387,0.3635,0.38147,0.34773,0.41465
tworfaa,AG,1000,rising,gcc_90,2021-05-21,2021-05-31,2021-06-27,2021-05-12,2021-05-27,2021-06-24,2021-05-26,2021-06-03,2021-06-29,0.34803,0.35839,0.37668,0.34153,0.4096
tworfaa,AG,1000,rising,gcc_90,2022-04-08,2022-04-14,2022-04-21,2022-04-04,2022-04-13,2022-04-19,2022-04-11,2022-04-16,2022-04-22,0.35292,0.36741,0.39514,0.34386,0.44272
tworfaa,AG,1000,rising,gcc_90,2022-11-29,2023-01-04,2023-01-17,2022-11-04,2022-12-04,2023-01-13,2022-11-30,2023-01-05,2023-01-21,0.35284,0.36209,0.38055,0.34623,0.41432
tworfaa,AG,1000,rising,gcc_90,2023-04-14,2023-04-20,2023-04-29,2023-04-12,2023-04-18,2023-04-27,2023-04-17,2023-04-22,2023-05-01,0.35223,0.367,0.39255,0.34366,0.4392
tworfaa,AG,1000,rising,gcc_75,2018-04-24,2018-04-28,2018-05-04,2018-04-22,2018-04-26,2018-05-02,2018-04-27,2018-04-30,2018-05-06,0.37431,0.38516,0.40512,0.36867,0.44068
tworfaa,AG,1000,rising,gcc_75,2018-08-15,2018-08-21,2018-08-28,2018-08-14,2018-08-20,2018-08-27,2018-08-18,2018-08-23,2018-08-29,0.3442,0.35921,0.38649,0.33545,0.43478
tworfaa,AG,1000,rising,gcc_75,2019-04-28,2019-05-01,2019-05-08,2019-04-26,2019-04-30,2019-05-06,2019-04-30,2019-05-04,2019-05-09,0.3472,0.35558,0.37854,0.34013,0.41225
tworfaa,AG,1000,rising,gcc_75,2019-11-17,2019-11-25,2019-12-10,2019-11-16,2019-11-24,2019-12-09,2019-11-22,2019-11-28,2019-12-15,0.34811,0.35887,0.37591,0.3424,0.40917
tworfaa,AG,1000,rising,gcc_75,2020-09-04,2020-09-10,2020-09-20,2020-09-01,2020-09-01,2020-09-19,2020-09-19,2020-09-19,2020-09-22,0.35474,0.36265,0.38104,0.34856,0.41103
tworfaa,AG,1000,rising,gcc_75,2021-05-21,2021-05-31,2021-06-27,2021-05-10,2021-05-28,2021-06-24,2021-05-28,2021-06-04,2021-06-29,0.34608,0.35454,0.37234,0.33996,0.40468
tworfaa,AG,1000,rising,gcc_75,2022-04-08,2022-04-14,2022-04-22,2022-04-05,2022-04-13,2022-04-20,2022-04-12,2022-04-16,2022-04-23,0.35119,0.36421,0.39449,0.34226,0.44052
tworfaa,AG,1000,rising,gcc_75,2022-11-03,2022-12-02,2022-12-12,2022-10-31,2022-11-27,2022-12-11,2022-11-04,2022-12-06,2023-01-15,0.34426,0.35492,0.3724,0.33863,0.40503
tworfaa,AG,1000,rising,gcc_75,2023-04-14,2023-04-20,2023-04-29,2023-04-12,2023-04-18,2023-04-27,2023-04-17,2023-04-23,2023-05-01,0.35036,0.36404,0.389,0.34225,0.43436
tworfaa,AG,1000,rising,gcc_50,2018-04-23,2018-04-28,2018-05-04,2018-04-06,2018-04-26,2018-05-02,2018-04-26,2018-04-30,2018-05-06,0.36742,0.38009,0.40052,0.36148,0.43794
tworfaa,AG,1000,rising,gcc_50,2018-08-15,2018-08-21,2018-08-28,2018-08-14,2018-08-20,2018-08-27,2018-08-18,2018-08-23,2018-08-29,0.34245,0.35649,0.3824,0.334,0.42863
tworfaa,AG,1000,rising,gcc_50,2019-04-28,2019-05-01,2019-05-08,2019-04-26,2019-04-30,2019-05-06,2019-04-30,2019-05-04,2019-05-10,0.34502,0.35309,0.37485,0.33804,0.41
tworfaa,AG,1000,rising,gcc_50,2019-11-20,2019-11-28,2019-12-21,2019-11-19,2019-11-27,2019-12-20,2019-11-24,2019-12-03,2020-04-19,0.35032,0.36201,0.38219,0.34376,0.41979
tworfaa,AG,1000,rising,gcc_50,2020-09-04,2020-09-10,2020-09-20,2020-09-01,2020-09-01,2020-09-19,2020-09-19,2020-09-19,2020-09-22,0.35254,0.36066,0.37895,0.34721,0.40628
tworfaa,AG,1000,rising,gcc_50,2021-05-20,2021-05-31,2021-06-28,2021-05-09,2021-05-28,2021-06-25,2021-05-27,2021-06-03,2021-06-29,0.34439,0.35313,0.37143,0.3384,0.40053
tworfaa,AG,1000,rising,gcc_50,2022-04-08,2022-04-15,2022-04-22,2022-04-04,2022-04-13,2022-04-20,2022-04-12,2022-04-17,2022-04-23,0.34915,0.36418,0.38993,0.3402,0.43777
tworfaa,AG,1000,rising,gcc_50,2022-11-04,2022-12-01,2022-12-12,2022-10-31,2022-11-18,2022-12-11,2022-11-05,2022-12-06,2023-01-15,0.34345,0.35238,0.36978,0.33703,0.40231
tworfaa,AG,1000,rising,gcc_50,2023-04-15,2023-04-21,2023-04-30,2023-04-13,2023-04-19,2023-04-27,2023-04-18,2023-04-23,2023-05-01,0.35035,0.36413,0.38925,0.34201,0.43214
tworfaa,AG,1000,rising,gcc_mean,2018-04-23,2018-04-28,2018-05-04,2018-04-06,2018-04-26,2018-05-02,2018-04-26,2018-04-30,2018-05-06,0.36812,0.38104,0.4007,0.36268,0.43776
tworfaa,AG,1000,rising,gcc_mean,2018-08-15,2018-08-21,2018-08-28,2018-08-14,2018-08-20,2018-08-27,2018-08-18,2018-08-23,2018-08-29,0.34264,0.35675,0.38298,0.33404,0.42831
tworfaa,AG,1000,rising,gcc_mean,2019-04-28,2019-05-01,2019-05-08,2019-04-26,2019-04-30,2019-05-06,2019-04-30,2019-05-04,2019-05-09,0.34557,0.35381,0.376,0.33843,0.41028
tworfaa,AG,1000,rising,gcc_mean,2019-11-20,2019-11-28,2019-12-24,2019-11-19,2019-11-27,2019-12-23,2019-11-24,2019-12-03,2020-04-19,0.35045,0.36165,0.38187,0.34391,0.41966
tworfaa,AG,1000,rising,gcc_mean,2020-09-04,2020-09-10,2020-09-19,2020-09-01,2020-09-01,2020-09-18,2020-09-19,2020-09-19,2020-09-21,0.3524,0.36047,0.37642,0.34703,0.4022
tworfaa,AG,1000,rising,gcc_mean,2021-05-20,2021-05-30,2021-06-28,2021-05-06,2021-05-27,2021-06-25,2021-05-26,2021-06-03,2021-06-29,0.34447,0.35271,0.37211,0.33821,0.40154
tworfaa,AG,1000,rising,gcc_mean,2022-04-08,2022-04-14,2022-04-22,2022-04-05,2022-04-13,2022-04-20,2022-04-12,2022-04-17,2022-04-23,0.3496,0.36201,0.3907,0.34068,0.4373
tworfaa,AG,1000,rising,gcc_mean,2022-11-03,2022-12-01,2022-12-12,2022-10-31,2022-11-11,2022-12-11,2022-11-04,2022-12-06,2023-01-15,0.34256,0.3524,0.36975,0.33698,0.4023
tworfaa,AG,1000,rising,gcc_mean,2023-04-14,2023-04-20,2023-04-29,2023-04-12,2023-04-18,2023-04-27,2023-04-17,2023-04-23,2023-05-01,0.34842,0.36215,0.38682,0.34039,0.43156
tworfaa,AG,1000,falling,gcc_90,2023-03-16,2023-03-13,2023-03-09,2023-03-17,2023-03-14,2023-03-10,2023-03-13,2023-03-11,2023-03-08,0.34476,0.35662,0.38061,0.33993,0.41839
tworfaa,AG,1000,falling,gcc_90,2022-06-30,2022-06-27,2022-06-20,2022-07-01,2022-06-28,2022-06-22,2022-06-28,2022-06-25,2022-06-19,0.3377,0.35368,0.38948,0.32848,0.44153
tworfaa,AG,1000,falling,gcc_90,2021-09-19,2021-09-17,2021-09-11,2021-09-21,2021-09-18,2021-09-13,2021-09-17,2021-09-15,2021-09-10,0.3494,0.35592,0.37765,0.34315,0.40816
tworfaa,AG,1000,falling,gcc_90,2021-03-16,2021-03-14,2021-03-10,2021-03-17,2021-03-15,2021-03-12,2021-03-14,2021-03-12,2021-03-09,0.33969,0.35031,0.38534,0.33201,0.42605
tworfaa,AG,1000,falling,gcc_90,2020-10-05,2020-10-02,2020-09-25,2020-10-06,2020-10-03,2020-09-26,2020-10-03,2020-09-30,2020-06-30,0.35458,0.36769,0.3867,0.34928,0.42403
