date,gcc_mean,smooth_gcc_mean
2018-01-19,,0.3778
2018-01-20,,0.3784
2018-01-21,,0.3788
2018-01-22,,0.3792
2018-01-23,,0.3794
2018-01-24,,0.3796
2018-01-25,,0.3798
2018-01-26,,0.3801
2018-01-27,,0.3803
2018-01-28,,0.3804
2018-01-29,,0.3806
2018-01-30,,0.3812
2018-01-31,,0.3824
2018-02-01,,0.3841
2018-02-02,,0.3858
2018-02-03,,0.3871
2018-02-04,,0.3881
2018-02-05,,0.3892
2018-02-06,,0.39
2018-02-07,,0.3899
2018-02-08,,0.3889
2018-02-09,,0.3871
2018-02-10,,0.3849
2018-02-11,,0.3828
2018-02-12,,0.3803
2018-02-13,,0.3771
2018-02-14,,0.374
2018-02-15,,0.3721
2018-02-16,,0.3713
2018-02-17,,0.3712
2018-02-18,,0.3715
2018-02-19,,0.3723
2018-02-20,,0.3739
2018-02-21,,0.3764
2018-02-22,,0.3792
2018-02-23,,0.3813
2018-02-24,,0.383
2018-02-25,,0.3848
2018-02-26,,0.3861
2018-02-27,,0.3869
2018-02-28,,0.387
2018-03-01,,0.3868
2018-03-02,,0.3863
2018-03-03,,0.3854
2018-03-04,,0.384
2018-03-05,,0.3822
2018-03-06,,0.38
2018-03-07,,0.3776
2018-03-08,,0.3751
2018-03-09,,0.3721
2018-03-10,,0.3691
2018-03-11,,0.3663
2018-03-12,,0.3636
2018-03-13,,0.361
2018-03-14,,0.3584
2018-03-15,,0.3559
2018-03-16,,0.3534
2018-03-17,,0.3509
2018-03-18,,0.3486
2018-03-19,,0.3464
2018-03-20,,0.3442
2018-03-21,,0.3419
2018-03-22,,0.3399
2018-03-23,,0.3384
2018-03-24,,0.3375
2018-03-25,,0.337
2018-03-26,,0.3369
2018-03-27,,0.3368
2018-03-28,,0.3368
2018-03-29,,0.337
2018-03-30,,0.3373
2018-03-31,,0.3377
2018-04-01,,0.3382
2018-04-02,,0.3389
2018-04-03,,0.3396
2018-04-04,,0.3404
2018-04-05,,0.3413
2018-04-06,,0.3424
2018-04-07,,0.3436
2018-04-08,,0.3446
2018-04-09,,0.3443
2018-04-10,,0.3426
2018-04-11,,0.3407
2018-04-12,,0.3399
2018-04-13,,0.3397
2018-04-14,,0.3398
2018-04-15,,0.3412
2018-04-16,,0.3452
2018-04-17,,0.3507
2018-04-18,,0.3554
2018-04-19,0.3568,0.3593
2018-04-20,0.3616,0.362
2018-04-21,0.3729,0.3635
2018-04-22,0.3639,0.3644
2018-04-23,0.3624,0.3653
2018-04-24,0.3688,0.3667
2018-04-25,0.372,0.3693
2018-04-26,0.3671,0.3726
2018-04-27,0.3722,0.3764
2018-04-28,0.3774,0.3801
2018-04-29,0.3828,0.3842
2018-04-30,0.3918,0.3888
2018-05-01,0.3982,0.3933
2018-05-02,0.3996,0.397
2018-05-03,0.4044,0.3997
2018-05-04,0.4114,0.4016
2018-05-05,0.3944,0.4035
2018-05-06,0.3964,0.4058
2018-05-07,0.4052,0.4086
2018-05-08,0.4139,0.4118
2018-05-09,0.4158,0.415
2018-05-10,0.4181,0.4181
2018-05-11,0.4225,0.4213
2018-05-12,0.4262,0.4248
2018-05-13,0.4297,0.428
2018-05-14,0.433,0.4308
2018-05-15,0.4341,0.4331
2018-05-16,0.4325,0.4352
2018-05-17,0.4302,0.437
2018-05-18,0.438,0.4384
2018-05-19,0.4425,0.4398
2018-05-20,0.4439,0.4412
2018-05-21,0.4408,0.4419
2018-05-22,0.4407,0.4415
2018-05-23,0.4417,0.4394
2018-05-24,0.4392,0.436
2018-05-25,0.4393,0.432
2018-05-26,0.4283,0.4285
2018-05-27,0.4208,0.425
2018-05-28,0.4132,0.4209
2018-05-29,0.4119,0.417
2018-05-30,0.4163,0.4138
2018-05-31,0.416,0.4115
2018-06-01,0.4104,0.41
2018-06-02,0.4079,0.4086
2018-06-03,0.4058,0.4071
2018-06-04,0.4081,0.4054
2018-06-05,0.4015,0.4038
2018-06-06,,0.4021
2018-06-07,0.4004,0.4004
2018-06-08,0.3999,0.3986
2018-06-09,0.3949,0.3968
2018-06-10,0.396,0.3948
2018-06-11,0.3959,0.3929
2018-06-12,0.3923,0.391
2018-06-13,0.3882,0.389
2018-06-14,0.3861,0.3872
2018-06-15,0.3829,0.3857
2018-06-16,0.3813,0.3851
2018-06-17,0.3803,0.385
2018-06-18,0.382,0.3847
2018-06-19,0.3878,0.3833
2018-06-20,0.3916,0.3805
2018-06-21,0.3845,0.3771
2018-06-22,0.373,0.3731
2018-06-23,0.3654,0.3689
2018-06-24,0.3568,0.3637
2018-06-25,0.3561,0.3574
2018-06-26,0.3511,0.3511
2018-06-27,0.3464,0.3458
2018-06-28,0.3429,0.3414
2018-06-29,0.3405,0.3373
2018-06-30,0.3332,0.3337
2018-07-01,0.3293,0.3309
2018-07-02,0.3265,0.3288
2018-07-03,0.3248,0.3273
2018-07-04,0.3264,0.3264
2018-07-05,0.3256,0.326
2018-07-06,0.3267,0.3265
2018-07-07,0.3277,0.328
2018-07-08,0.3285,0.3296
2018-07-09,0.332,0.3306
2018-07-10,0.3344,0.331
2018-07-11,0.3327,0.3312
2018-07-12,0.3313,0.3312
2018-07-13,0.3311,0.331
2018-07-14,0.3304,0.3304
2018-07-15,0.3292,0.3293
2018-07-16,0.327,0.3282
2018-07-17,0.3265,0.3275
2018-07-18,0.3274,0.3272
2018-07-19,0.3272,0.327
2018-07-20,0.3271,0.3271
2018-07-21,0.3275,0.3275
2018-07-22,0.3272,0.3282
2018-07-23,0.3279,0.3294
2018-07-24,0.3295,0.3307
2018-07-25,0.3336,0.3318
2018-07-26,0.3341,0.3328
2018-07-27,0.3361,0.3339
2018-07-28,0.3344,0.335
2018-07-29,0.3341,0.3358
2018-07-30,0.3365,0.3363
2018-07-31,0.3376,0.3367
2018-08-01,0.3366,0.3369
2018-08-02,0.3375,0.3371
2018-08-03,0.3372,0.3372
2018-08-04,0.3361,0.3372
2018-08-05,0.3379,0.3371
