year,direction,date_10,date_25,date_50,DOY_10,DOY_25,DOY_50
2018,rising,08-17,08-21,08-28,229,233,240
2018,rising,10-28,11-06,12-10,301,310,344
2018,falling,09-19,09-18,09-15,262,261,258
2018,falling,06-28,06-25,06-18,179,176,169
2019,rising,04-28,05-01,05-08,118,121,128
2019,rising,11-16,11-21,11-28,320,325,332
2019,falling,08-06,08-03,07-29,218,215,210
2019,falling,03-26,03-23,03-19,85,82,78
2020,rising,03-27,04-03,04-13,87,94,104
2020,rising,08-30,09-03,09-09,243,247,253
2020,rising,11-07,11-18,11-30,312,323,335
2020,falling,10-06,10-04,10-02,280,278,276
2020,falling,07-13,07-08,07-02,195,190,184
2020,falling,02-17,02-15,02-11,48,46,42
2021,rising,05-06,05-26,06-09,126,146,160
2021,falling,09-18,09-16,09-12,261,259,255
2021,falling,03-13,03-12,03-09,72,71,68
2022,rising,04-08,04-15,04-22,98,105,112
2022,rising,11-03,12-03,12-10,307,337,344
2022,falling,06-30,06-27,06-22,181,178,173
2023,rising,04-15,04-20,04-30,105,110,120
2023,falling,03-14,03-12,03-08,73,71,67
