id,longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
2018_01_01,-96.8900407569213,31.47921334375833,2018-01-01,1059.0,1840.0,543.0,MODIS/061/MCD43A4
2018_01_02,-96.8900407569213,31.47921334375833,2018-01-02,1075.0,1870.0,551.0,MODIS/061/MCD43A4
2018_01_03,-96.8900407569213,31.47921334375833,2018-01-03,1079.0,1864.0,559.0,MODIS/061/MCD43A4
2018_01_04,-96.8900407569213,31.47921334375833,2018-01-04,1080.0,1864.0,560.0,MODIS/061/MCD43A4
2018_01_05,-96.8900407569213,31.47921334375833,2018-01-05,1079.0,1875.0,548.0,MODIS/061/MCD43A4
2018_01_06,-96.8900407569213,31.47921334375833,2018-01-06,1067.0,1844.0,543.0,MODIS/061/MCD43A4
2018_01_07,-96.8900407569213,31.47921334375833,2018-01-07,1072.0,1849.0,547.0,MODIS/061/MCD43A4
2018_01_08,-96.8900407569213,31.47921334375833,2018-01-08,1073.0,1851.0,548.0,MODIS/061/MCD43A4
2018_01_09,-96.8900407569213,31.47921334375833,2018-01-09,1074.0,1853.0,548.0,MODIS/061/MCD43A4
2018_01_10,-96.8900407569213,31.47921334375833,2018-01-10,1066.0,1839.0,550.0,MODIS/061/MCD43A4
2018_01_11,-96.8900407569213,31.47921334375833,2018-01-11,1066.0,1838.0,551.0,MODIS/061/MCD43A4
2018_01_12,-96.8900407569213,31.47921334375833,2018-01-12,1067.0,1877.0,559.0,MODIS/061/MCD43A4
2018_01_13,-96.8900407569213,31.47921334375833,2018-01-13,1068.0,1877.0,559.0,MODIS/061/MCD43A4
2018_01_14,-96.8900407569213,31.47921334375833,2018-01-14,1064.0,1868.0,558.0,MODIS/061/MCD43A4
2018_01_15,-96.8900407569213,31.47921334375833,2018-01-15,1065.0,1868.0,558.0,MODIS/061/MCD43A4
2018_01_16,-96.8900407569213,31.47921334375833,2018-01-16,1055.0,1858.0,553.0,MODIS/061/MCD43A4
2018_01_17,-96.8900407569213,31.47921334375833,2018-01-17,1050.0,1849.0,559.0,MODIS/061/MCD43A4
2018_01_18,-96.8900407569213,31.47921334375833,2018-01-18,1038.0,1789.0,550.0,MODIS/061/MCD43A4
