#
# Transition date estimate for uiefmiscanthus2
#
# Site: uiefmiscanthus2
# Veg Type: AG
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2019
# Year max: 2025
# Final Processing Date: 2025-10-02
# Final Processing Time: 00:17:15
# Spline RMSE gcc_mean: 0.00448
# Spline RMSE gcc_50: 0.00477
# Spline RMSE gcc_75: 0.00484
# Spline RMSE gcc_90: 0.00514
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
uiefmiscanthus2,AG,1000,rising,gcc_90,2019-05-23,2019-05-30,2019-06-08,2019-05-21,2019-05-29,2019-06-06,2019-05-26,2019-06-01,2019-06-09,0.32802,0.34387,0.37518,0.31803,0.43131
uiefmiscanthus2,AG,1000,rising,gcc_90,2020-05-20,2020-05-25,2020-05-31,2020-05-15,2020-05-24,2020-05-30,2020-05-22,2020-05-27,2020-06-01,0.33032,0.34638,0.37753,0.31925,0.43227
uiefmiscanthus2,AG,1000,rising,gcc_90,2021-05-09,2021-05-15,2021-05-24,2021-03-09,2021-03-09,2021-03-09,2021-06-07,2021-06-07,2021-06-07,0.32776,0.34226,0.37281,0.3187,0.42086
uiefmiscanthus2,AG,1000,rising,gcc_90,2022-05-10,2022-05-15,2022-05-21,2022-05-08,2022-05-14,2022-05-19,2022-05-12,2022-05-16,2022-05-22,0.32558,0.3418,0.37605,0.31539,0.4292
uiefmiscanthus2,AG,1000,rising,gcc_90,2023-05-10,2023-05-16,2023-05-24,2023-05-08,2023-05-15,2023-05-23,2023-05-13,2023-05-18,2023-05-25,0.32546,0.34156,0.3725,0.31499,0.42935
uiefmiscanthus2,AG,1000,rising,gcc_90,2024-05-04,2024-05-10,2024-05-17,2024-05-02,2024-05-09,2024-05-15,2024-05-07,2024-05-12,2024-05-18,0.32772,0.34456,0.37805,0.31776,0.43041
uiefmiscanthus2,AG,1000,rising,gcc_90,2025-05-07,2025-05-12,2025-05-19,2025-05-05,2025-05-11,2025-05-18,2025-05-09,2025-05-14,2025-05-20,0.32513,0.34401,0.37955,0.31361,0.44362
uiefmiscanthus2,AG,1000,rising,gcc_75,2019-05-23,2019-05-31,2019-06-09,2019-05-21,2019-05-30,2019-06-07,2019-05-26,2019-06-02,2019-06-10,0.32688,0.3441,0.37464,0.31651,0.42928
uiefmiscanthus2,AG,1000,rising,gcc_75,2020-05-19,2020-05-25,2020-06-01,2020-05-09,2020-05-24,2020-05-30,2020-05-22,2020-05-27,2020-06-02,0.32804,0.34329,0.37814,0.31802,0.4279
uiefmiscanthus2,AG,1000,rising,gcc_75,2021-05-09,2021-05-15,2021-05-24,2021-03-09,2021-03-09,2021-03-09,2021-06-07,2021-06-07,2021-06-07,0.32647,0.34002,0.36956,0.31768,0.41872
uiefmiscanthus2,AG,1000,rising,gcc_75,2022-05-10,2022-05-15,2022-05-21,2022-05-08,2022-05-14,2022-05-19,2022-05-12,2022-05-16,2022-05-22,0.32436,0.34016,0.37228,0.31353,0.42601
uiefmiscanthus2,AG,1000,rising,gcc_75,2023-05-10,2023-05-16,2023-05-25,2023-05-07,2023-05-15,2023-05-23,2023-05-12,2023-05-18,2023-05-26,0.32462,0.33899,0.37138,0.31402,0.42361
uiefmiscanthus2,AG,1000,rising,gcc_75,2024-05-04,2024-05-10,2024-05-17,2024-05-02,2024-05-09,2024-05-16,2024-05-06,2024-05-12,2024-05-18,0.32661,0.34184,0.3738,0.31607,0.42795
uiefmiscanthus2,AG,1000,rising,gcc_75,2025-05-07,2025-05-12,2025-05-19,2025-05-05,2025-05-11,2025-05-18,2025-05-09,2025-05-14,2025-05-20,0.32408,0.34135,0.37634,0.31274,0.4392
uiefmiscanthus2,AG,1000,rising,gcc_50,2019-05-22,2019-05-31,2019-06-10,2019-05-16,2019-05-30,2019-06-08,2019-05-25,2019-06-02,2019-06-11,0.32486,0.34149,0.37308,0.31415,0.42516
uiefmiscanthus2,AG,1000,rising,gcc_50,2020-05-18,2020-05-25,2020-06-01,2020-04-25,2020-05-24,2020-05-30,2020-05-21,2020-05-27,2020-06-02,0.32645,0.34011,0.372,0.31601,0.42329
uiefmiscanthus2,AG,1000,rising,gcc_50,2021-05-09,2021-05-15,2021-05-24,2021-03-09,2021-03-09,2021-03-09,2021-06-07,2021-06-07,2021-06-07,0.32513,0.33802,0.36574,0.31619,0.41311
uiefmiscanthus2,AG,1000,rising,gcc_50,2022-05-09,2022-05-15,2022-05-21,2022-05-07,2022-05-14,2022-05-20,2022-05-12,2022-05-16,2022-05-22,0.32108,0.33868,0.36893,0.31141,0.42255
