date,gcc_mean,smooth_gcc_mean
2019-01-03,,0.3121
2019-01-04,,0.3118
2019-01-05,,0.3116
2019-01-06,,0.3113
2019-01-07,,0.3111
2019-01-08,,0.3108
2019-01-09,,0.3106
2019-01-10,,0.3104
2019-01-11,,0.3103
2019-01-12,,0.3102
2019-01-13,,0.3102
2019-01-14,,0.3102
2019-01-15,,0.3104
2019-01-16,,0.3105
2019-01-17,,0.3106
2019-01-18,,0.3107
2019-01-19,,0.3108
2019-01-20,,0.3109
2019-01-21,,0.311
2019-01-22,,0.311
2019-01-23,,0.311
2019-01-24,,0.3108
2019-01-25,,0.3107
2019-01-26,,0.3107
2019-01-27,,0.3107
2019-01-28,,0.311
2019-01-29,,0.3114
2019-01-30,,0.3119
2019-01-31,,0.3124
2019-02-01,,0.3127
2019-02-02,,0.3128
2019-02-03,,0.3129
2019-02-04,,0.3128
2019-02-05,,0.3128
2019-02-06,,0.3127
2019-02-07,,0.3126
2019-02-08,,0.3124
2019-02-09,,0.3122
2019-02-10,,0.312
2019-02-11,,0.3119
2019-02-12,,0.3121
2019-02-13,,0.3124
2019-02-14,,0.3128
2019-02-15,,0.3132
2019-02-16,,0.3135
2019-02-17,,0.3137
2019-02-18,,0.3138
2019-02-19,,0.3139
2019-02-20,,0.3139
2019-02-21,,0.3139
2019-02-22,,0.3139
2019-02-23,,0.3139
2019-02-24,,0.3138
2019-02-25,,0.3137
2019-02-26,,0.3136
2019-02-27,,0.3137
2019-02-28,,0.3138
2019-03-01,,0.3139
2019-03-02,,0.314
2019-03-03,,0.3141
2019-03-04,,0.314
2019-03-05,,0.3138
2019-03-06,,0.3136
2019-03-07,,0.3134
2019-03-08,,0.3132
2019-03-09,,0.3132
2019-03-10,,0.3132
2019-03-11,,0.3132
2019-03-12,,0.3132
2019-03-13,,0.3132
2019-03-14,,0.3132
2019-03-15,,0.3131
2019-03-16,,0.3131
2019-03-17,,0.3131
2019-03-18,,0.3132
2019-03-19,,0.3132
2019-03-20,,0.3132
2019-03-21,,0.3132
2019-03-22,,0.3133
2019-03-23,,0.3136
2019-03-24,,0.3146
2019-03-25,,0.3166
2019-03-26,,0.3189
2019-03-27,,0.3209
2019-03-28,,0.3221
2019-03-29,,0.3225
2019-03-30,,0.3228
2019-03-31,,0.3229
2019-04-01,,0.3226
2019-04-02,,0.3218
2019-04-03,0.3224,0.321
2019-04-04,0.3197,0.3204
2019-04-05,0.3178,0.3201
2019-04-06,0.3192,0.32
2019-04-07,0.3182,0.3198
2019-04-08,0.321,0.3197
2019-04-09,0.3217,0.3194
2019-04-10,0.3195,0.3192
2019-04-11,0.3189,0.319
2019-04-12,0.3209,0.3188
2019-04-13,0.3198,0.3187
2019-04-14,0.3112,0.3186
2019-04-15,0.3189,0.3186
2019-04-16,0.322,0.3186
2019-04-17,0.3212,0.3186
2019-04-18,0.3122,0.3188
2019-04-19,0.3176,0.3192
2019-04-20,0.3212,0.3196
2019-04-21,0.3232,0.3199
2019-04-22,0.3214,0.3201
2019-04-23,0.3212,0.3201
2019-04-24,0.321,0.3199
2019-04-25,0.3179,0.3196
2019-04-26,0.3189,0.3193
2019-04-27,0.3181,0.3192
2019-04-28,0.3195,0.3192
2019-04-29,0.3193,0.3193
2019-04-30,0.3211,0.3194
2019-05-01,0.3185,0.3197
2019-05-02,0.3136,0.3199
2019-05-03,0.3217,0.3202
2019-05-04,0.3191,0.3207
2019-05-05,0.3226,0.3211
2019-05-06,0.3244,0.3214
2019-05-07,0.3253,0.3217
2019-05-08,0.3249,0.3217
2019-05-09,0.3197,0.3216
2019-05-10,0.3219,0.3214
2019-05-11,0.3175,0.3213
2019-05-12,0.3174,0.3213
2019-05-13,0.3212,0.3213
2019-05-14,0.3224,0.3213
2019-05-15,0.3234,0.3213
2019-05-16,0.3222,0.3214
2019-05-17,0.3226,0.3218
2019-05-18,0.3236,0.3221
