year,direction,date_10,date_25,date_50,DOY_10,DOY_25,DOY_50
2019,rising,05-22,05-30,06-09,142,150,160
2019,falling,10-23,10-20,10-03,296,293,276
2020,rising,05-18,05-25,06-01,139,146,153
2020,falling,10-12,10-09,10-04,286,283,278
2021,rising,05-09,05-15,05-24,129,135,144
2021,falling,11-12,11-04,10-26,316,308,299
2022,rising,05-09,05-15,05-21,129,135,141
2022,falling,10-22,10-18,10-11,295,291,284
2023,rising,05-09,05-16,05-25,129,136,145
2023,falling,11-01,10-27,10-21,305,300,294
2024,rising,05-03,05-10,05-17,124,131,138
2024,falling,10-22,10-21,10-17,296,295,291
2025,rising,05-07,05-12,05-20,127,132,140
