date,gcc_mean,smooth_gcc_mean
2024-03-21,,0.3396
2024-03-22,,0.3387
2024-03-23,,0.3379
2024-03-24,,0.3373
2024-03-25,,0.3368
2024-03-26,,0.3366
2024-03-27,,0.3365
2024-03-28,,0.3366
2024-03-29,,0.3366
2024-03-30,,0.3369
2024-03-31,,0.3375
2024-04-01,,0.3388
2024-04-02,,0.3404
2024-04-03,,0.3422
2024-04-04,,0.3437
2024-04-05,,0.3451
2024-04-06,,0.3458
2024-04-07,,0.3467
2024-04-08,,0.3485
2024-04-09,,0.3511
2024-04-10,,0.3541
2024-04-11,,0.3582
2024-04-12,,0.3622
2024-04-13,,0.3649
2024-04-14,,0.3656
2024-04-15,,0.3657
2024-04-16,,0.3658
2024-04-17,,0.3661
2024-04-18,,0.3675
2024-04-19,,0.3698
2024-04-20,,0.372
2024-04-21,,0.3727
2024-04-22,,0.3728
2024-04-23,,0.3724
2024-04-24,,0.3712
2024-04-25,,0.3695
2024-04-26,,0.367
2024-04-27,,0.3643
2024-04-28,,0.3617
2024-04-29,,0.3607
2024-04-30,,0.3602
2024-05-01,,0.3606
2024-05-02,,0.3612
2024-05-03,,0.3608
2024-05-04,,0.3602
2024-05-05,,0.3595
2024-05-06,,0.3587
2024-05-07,,0.3586
2024-05-08,,0.3589
2024-05-09,,0.3598
2024-05-10,,0.3604
2024-05-11,,0.3609
2024-05-12,,0.3607
2024-05-13,,0.36
2024-05-14,,0.3581
2024-05-15,,0.356
2024-05-16,,0.3546
2024-05-17,,0.3555
2024-05-18,,0.357
2024-05-19,,0.3594
2024-05-20,,0.3616
2024-05-21,,0.3638
2024-05-22,,0.3652
2024-05-23,,0.3664
2024-05-24,,0.3677
2024-05-25,,0.3688
2024-05-26,,0.3694
2024-05-27,,0.3682
2024-05-28,,0.3667
2024-05-29,,0.3655
2024-05-30,,0.3645
2024-05-31,,0.364
2024-06-01,,0.3647
2024-06-02,,0.3657
2024-06-03,,0.3668
2024-06-04,,0.3678
2024-06-05,,0.3683
2024-06-06,,0.367
2024-06-07,,0.3651
2024-06-08,,0.3628
2024-06-09,,0.3617
2024-06-10,,0.3612
2024-06-11,,0.3621
2024-06-12,,0.3631
2024-06-13,,0.3634
2024-06-14,,0.3641
2024-06-15,,0.3666
2024-06-16,,0.3726
2024-06-17,,0.3772
2024-06-18,,0.3812
2024-06-19,0.3834,0.385
2024-06-20,0.388,0.3828
2024-06-21,0.3784,0.379
2024-06-22,0.3763,0.3752
2024-06-23,0.37,0.3724
2024-06-24,0.3708,0.3716
2024-06-25,0.3698,0.3722
2024-06-26,0.3773,0.3736
2024-06-27,0.3792,0.3758
2024-06-28,0.3688,0.3779
2024-06-29,0.3852,0.3787
2024-06-30,0.3809,0.379
2024-07-01,0.375,0.3788
2024-07-02,0.377,0.3769
2024-07-03,0.3805,0.3748
2024-07-04,0.3682,0.3734
2024-07-05,0.3729,0.3729
2024-07-06,0.3711,0.3726
2024-07-07,0.3766,0.373
2024-07-08,0.3733,0.3736
2024-07-09,0.3731,0.3742
2024-07-10,0.3716,0.3745
2024-07-11,0.3792,0.3748
2024-07-12,0.3736,0.3755
2024-07-13,0.376,0.3761
2024-07-14,0.376,0.376
2024-07-15,0.374,0.3749
2024-07-16,0.378,0.3736
2024-07-17,0.37,0.3718
2024-07-18,0.3691,0.3703
2024-07-19,0.3688,0.37
2024-07-20,0.3697,0.371
2024-07-21,0.375,0.3726
2024-07-22,0.3749,0.3742
2024-07-23,0.3765,0.3758
2024-07-24,0.3746,0.3781
2024-07-25,0.3764,0.3785
2024-07-26,0.383,0.3781
2024-07-27,0.3842,0.3755
2024-07-28,0.3659,0.3728
2024-07-29,0.3648,0.3707
2024-07-30,0.3677,0.3709
2024-07-31,0.3788,0.3717
2024-08-01,0.3744,0.3732
2024-08-02,0.3704,0.3742
2024-08-03,0.3776,0.3714
2024-08-04,0.3681,0.3684
2024-08-05,0.361,0.3658
2024-08-06,0.3624,0.3656
2024-08-07,0.3692,0.366
2024-08-08,0.3646,0.3669
2024-08-09,0.3766,0.3669
2024-08-10,0.3625,0.3673
2024-08-11,0.365,0.3674
2024-08-12,0.3654,0.37
2024-08-13,0.3807,0.3786
2024-08-14,,0.3877
2024-08-15,,0.395
2024-08-16,,0.3882
2024-08-17,,0.3757
2024-08-18,,0.3506
2024-08-19,,0.3453
2024-08-20,,0.3468
2024-08-21,0.3571,0.3577
2024-08-22,0.3638,0.3649
2024-08-23,0.3726,0.3669
2024-08-24,0.3694,0.3657
2024-08-25,0.359,0.3634
2024-08-26,0.3606,0.3618
2024-08-27,0.36,0.3608
2024-08-28,0.3585,0.3633
2024-08-29,0.3689,0.3661
2024-08-30,0.3745,0.3689
2024-08-31,0.3709,0.3698
2024-09-01,0.3656,0.3701
2024-09-02,0.3677,0.3687
2024-09-03,0.3705,0.3676
2024-09-04,0.3671,0.3668
2024-09-05,0.3662,0.3669
2024-09-06,0.3627,0.3673
2024-09-07,0.3713,0.3679
2024-09-08,0.3689,0.3688
2024-09-09,0.369,0.3689
2024-09-10,0.3703,0.3685
2024-09-11,0.365,0.3666
2024-09-12,0.365,0.3645
2024-09-13,0.3634,0.363
2024-09-14,0.3621,0.3626
2024-09-15,0.358,0.3625
2024-09-16,0.3678,0.3621
2024-09-17,0.3627,0.3621
2024-09-18,0.3615,0.3625
2024-09-19,0.36,0.3636
2024-09-20,0.3649,0.3648
2024-09-21,0.3688,0.367
2024-09-22,0.3711,0.3691
2024-09-23,0.3677,0.3705
2024-09-24,0.3707,0.3702
2024-09-25,0.3715,0.3692
2024-09-26,0.3678,0.3679
2024-09-27,0.3664,0.3665
2024-09-28,0.361,0.3653
2024-09-29,0.3664,0.365
2024-09-30,0.3676,0.3648
2024-10-01,0.3617,0.3642
2024-10-02,0.3644,0.3634
2024-10-03,0.3666,0.3619
2024-10-04,0.3582,0.3619
2024-10-05,0.3557,0.3624
2024-10-06,0.3683,0.3637
2024-10-07,0.3684,0.365
2024-10-08,0.3629,0.3658
2024-10-09,0.3671,0.3646
2024-10-10,0.3639,0.3632
2024-10-11,0.3577,0.3623
2024-10-12,0.3649,0.3621
2024-10-13,0.3616,0.3632
2024-10-14,0.3667,0.3658
2024-10-15,,0.3688
2024-10-16,,0.3701
2024-10-17,,0.3703
2024-10-18,,0.3714
2024-10-19,,0.3676
2024-10-20,,0.3644
2024-10-21,,0.3641
2024-10-22,,0.3637
2024-10-23,,0.3633
2024-10-24,,0.3612
2024-10-25,,0.3588
2024-10-26,,0.3574
2024-10-27,,0.3577
2024-10-28,,0.3592
2024-10-29,0.361,0.3615
2024-10-30,0.364,0.3629
2024-10-31,0.3635,0.3634
2024-11-01,0.3621,0.3631
2024-11-02,0.364,0.362
2024-11-03,0.3615,0.3611
2024-11-04,0.3575,0.3603
2024-11-05,0.3596,0.3602
